NOVA_EXT_MAX,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.5,BTCUSDT,F_192,2026-07-30T01:55:00+00:00,2026-07-30T02:55:00+00:00,64389.347475,64084.375058,1000.0,-4.7364,,stop,12
0.5,BTCUSDT,F_192,2026-07-30T08:45:00+00:00,2026-07-30T11:50:00+00:00,64431.642387,64658.562555,1000.0,3.5219,,tp,37
0.5,BTCUSDT,F_192,2026-07-30T12:10:00+00:00,2026-07-30T12:40:00+00:00,64988.395226,64766.987115,1000.0,-3.4069,,stop,6
0.5,BTCUSDT,F_192,2026-07-30T20:05:00+00:00,2026-07-30T20:05:00+00:00,64992.390413,64789.170569,1000.0,-3.1268,,stop,0
0.5,BTCUSDT,F_192,2026-07-30T22:30:00+00:00,2026-07-30T22:30:00+00:00,65079.924059,64880.144367,1000.0,-3.0698,,stop,0
0.5,BTCUSDT,F_192,2026-07-31T10:55:00+00:00,2026-07-31T10:55:00+00:00,64030.691828,63851.525367,1000.0,-2.7981,,stop,0
0.5,BTCUSDT,F_192,2026-07-31T16:10:00+00:00,2026-08-01T17:30:00+00:00,62946.744526,62671.549744,1000.0,-4.3719,,stop,304
0.5,BTCUSDT,F_192,2026-08-01T07:15:00+00:00,2026-08-01T07:15:00+00:00,63192.924144,63077.903272,1000.0,-1.8202,,stop,0
0.5,BTCUSDT,F_192,2026-08-02T04:55:00+00:00,2026-08-02T04:55:00+00:00,63643.218767,63502.000137,1000.0,-2.2189,,stop,0
0.5,BTCUSDT,F_192,2026-08-04T04:35:00+00:00,2026-08-04T04:35:00+00:00,63972.376116,63804.704886,1000.0,-2.621,,stop,0
0.5,BTCUSDT,F_192,2026-08-04T11:45:00+00:00,2026-08-04T12:20:00+00:00,63959.619554,63714.305996,1000.0,-3.8354,,stop,7
0.5,BTCUSDT,F_192,2026-08-04T14:45:00+00:00,2026-08-04T15:30:00+00:00,64208.202292,63793.618351,1000.0,-6.4569,,stop,9
0.5,BTCUSDT,F_192,2026-08-04T18:15:00+00:00,2026-08-04T20:15:00+00:00,64303.475987,64032.288514,1000.0,-4.2173,,stop,24
0.5,BTCUSDT,F_192,2026-08-05T01:55:00+00:00,2026-08-05T03:15:00+00:00,64395.645652,64167.348087,1000.0,-3.5452,,stop,16
0.5,BTCUSDT,F_192,2026-08-05T05:20:00+00:00,2026-08-05T05:45:00+00:00,64424.763456,64253.923197,1000.0,-2.6518,,stop,5
0.5,BTCUSDT,F_192,2026-08-05T17:55:00+00:00,2026-08-05T18:05:00+00:00,64850.746515,64649.344396,1000.0,-3.1056,,stop,2
0.5,BTCUSDT,F_192,2026-08-05T19:55:00+00:00,2026-08-05T19:55:00+00:00,65015.440339,64839.781758,1000.0,-2.7018,,stop,0
0.5,BTCUSDT,F_192,2026-08-06T05:00:00+00:00,2026-08-06T05:00:00+00:00,64818.805045,64648.264332,1000.0,-2.631,,stop,0
0.5,BTCUSDT,F_192,2026-08-06T05:05:00+00:00,2026-08-06T06:15:00+00:00,64856.2036,64683.037623,1000.0,-2.67,,stop,14
0.5,BTCUSDT,F_192,2026-08-06T08:55:00+00:00,2026-08-06T08:55:00+00:00,65054.290779,64883.954698,1000.0,-2.6184,,stop,0
0.5,BTCUSDT,F_192,2026-08-07T01:05:00+00:00,2026-08-07T01:10:00+00:00,64494.784365,64273.615615,1000.0,-3.4293,,stop,1
0.5,BTCUSDT,F_192,2026-08-07T01:35:00+00:00,2026-08-07T01:35:00+00:00,64539.442345,64320.32137,1000.0,-3.3951,,stop,0
0.5,BTCUSDT,F_192,2026-08-07T05:55:00+00:00,2026-08-07T05:55:00+00:00,64465.6966,64294.552026,1000.0,-2.6548,,stop,0
0.5,BTCUSDT,F_192,2026-08-07T06:15:00+00:00,2026-08-07T06:15:00+00:00,64497.588005,64325.899769,1000.0,-2.6619,,stop,0
0.5,BTCUSDT,F_192,2026-08-07T09:05:00+00:00,2026-08-07T11:15:00+00:00,64773.085687,64926.696826,1000.0,2.3715,,tp,26
0.5,BTCUSDT,F_192,2026-08-07T19:20:00+00:00,2026-08-07T22:35:00+00:00,64971.713568,64781.027182,1000.0,-2.9349,,stop,39
0.5,BTCUSDT,F_192,2026-08-08T01:15:00+00:00,2026-08-08T01:15:00+00:00,65041.604308,64899.978798,1000.0,-2.1775,,stop,0
0.5,BTCUSDT,F_192,2026-08-08T09:20:00+00:00,2026-08-08T09:20:00+00:00,65107.399731,65002.866007,1000.0,-1.6056,,stop,0
0.5,BTCUSDT,F_192,2026-08-08T17:15:00+00:00,2026-08-08T17:15:00+00:00,65202.783569,65090.552847,1000.0,-1.7213,,stop,0
0.5,BTCUSDT,F_192,2026-08-08T20:50:00+00:00,2026-08-08T20:50:00+00:00,65184.63,65073.782536,1000.0,-1.7005,,stop,0
0.5,BTCUSDT,F_192,2026-08-09T01:05:00+00:00,2026-08-09T01:05:00+00:00,65080.124319,64977.11269,1000.0,-1.5828,,stop,0
0.5,BTCUSDT,F_192,2026-08-09T04:30:00+00:00,2026-08-09T04:30:00+00:00,64910.2738,64804.021767,1000.0,-1.6369,,stop,0
0.5,BTCUSDT,F_192,2026-08-09T22:05:00+00:00,2026-08-09T22:05:00+00:00,65335.565962,65201.359575,1000.0,-2.0541,,stop,0
0.5,BTCUSDT,F_192,2026-08-10T11:35:00+00:00,2026-08-10T11:35:00+00:00,65183.718817,65029.9798,1000.0,-2.3585,,stop,0
0.5,BTCUSDT,F_192,2026-08-11T01:15:00+00:00,2026-08-11T01:15:00+00:00,64145.170457,63969.667354,1000.0,-2.736,,stop,0
0.5,BTCUSDT,F_192,2026-08-11T03:25:00+00:00,2026-08-11T03:25:00+00:00,64237.340122,64117.468913,1000.0,-1.8661,,stop,0
0.5,BTCUSDT,F_192,2026-08-11T08:45:00+00:00,2026-08-11T08:45:00+00:00,64201.343387,64055.947973,1000.0,-2.2647,,stop,0
0.5,BTCUSDT,F_192,2026-08-11T09:20:00+00:00,2026-08-11T09:20:00+00:00,64253.431013,64122.678737,1000.0,-2.0349,,stop,0
0.5,BTCUSDT,F_192,2026-08-11T09:45:00+00:00,2026-08-11T09:45:00+00:00,64326.646069,64186.532104,1000.0,-2.1782,,stop,0
0.5,BTCUSDT,F_192,2026-08-11T20:10:00+00:00,2026-08-11T20:15:00+00:00,63780.687244,63558.984438,1000.0,-3.476,,stop,1
0.5,BTCUSDT,F_192,2026-08-12T00:35:00+00:00,2026-08-12T00:35:00+00:00,63797.418967,63636.383982,1000.0,-2.5242,,stop,0
0.5,BTCUSDT,F_192,2026-08-12T01:15:00+00:00,2026-08-12T01:15:00+00:00,63867.259642,63714.470156,1000.0,-2.3923,,stop,0
0.5,BTCUSDT,F_192,2026-08-12T02:10:00+00:00,2026-08-12T02:10:00+00:00,63944.279638,63780.310163,1000.0,-2.5643,,stop,0
0.5,BTCUSDT,F_192,2026-08-12T02:30:00+00:00,2026-08-12T02:30:00+00:00,63981.36779,63812.818856,1000.0,-2.6343,,stop,0
0.5,BTCUSDT,F_192,2026-08-12T11:50:00+00:00,2026-08-12T11:55:00+00:00,64321.289114,64151.011386,1000.0,-2.6473,,stop,1
0.5,BTCUSDT,F_192,2026-08-13T05:15:00+00:00,2026-08-13T06:00:00+00:00,63964.235547,63776.178593,1000.0,-2.94,,stop,9
0.5,BTCUSDT,F_192,2026-08-13T13:00:00+00:00,2026-08-13T13:20:00+00:00,63780.567088,63590.102348,1000.0,-2.9863,,stop,4
0.5,BTCUSDT,F_192,2026-08-13T13:40:00+00:00,2026-08-13T13:45:00+00:00,63890.940387,63639.899398,1000.0,-3.9292,,stop,1
0.5,BTCUSDT,F_192,2026-08-14T01:05:00+00:00,2026-08-14T01:05:00+00:00,63658.188202,63460.914482,1000.0,-3.099,,stop,0
0.5,BTCUSDT,F_192,2026-08-14T02:10:00+00:00,2026-08-14T02:10:00+00:00,63688.677787,63501.847927,1000.0,-2.9335,,stop,0
0.5,BTCUSDT,F_192,2026-08-14T16:25:00+00:00,2026-08-14T17:55:00+00:00,63186.926357,62940.522884,1000.0,-3.8996,,stop,18
0.5,BTCUSDT,F_192,2026-08-14T23:40:00+00:00,2026-08-14T23:40:00+00:00,63061.863987,62918.031219,1000.0,-2.2808,,stop,0
0.5,BTCUSDT,F_192,2026-08-15T02:35:00+00:00,2026-08-15T02:35:00+00:00,63208.224008,63082.482889,1000.0,-1.9893,,stop,0
0.5,BTCUSDT,F_192,2026-08-15T03:15:00+00:00,2026-08-15T03:15:00+00:00,63236.1002,63118.893115,1000.0,-1.8535,,stop,0
0.5,BTCUSDT,F_192,2026-08-15T10:50:00+00:00,2026-08-15T10:50:00+00:00,63131.954987,63028.320086,1000.0,-1.6416,,stop,0
0.5,BTCUSDT,F_192,2026-08-15T16:30:00+00:00,2026-08-15T16:30:00+00:00,63203.65808,63093.381346,1000.0,-1.7448,,stop,0
0.5,BTCUSDT,F_192,2026-08-16T12:00:00+00:00,2026-08-16T12:00:00+00:00,63095.577758,63000.190901,1000.0,-1.5118,,stop,0
0.5,BTCUSDT,F_192,2026-08-16T16:35:00+00:00,2026-08-16T16:35:00+00:00,63443.439391,63295.500988,1000.0,-2.3318,,stop,0
0.5,BTCUSDT,F_192,2026-08-17T01:35:00+00:00,2026-08-17T02:00:00+00:00,63282.16,63010.381307,1000.0,-4.2947,,stop,5
0.5,BTCUSDT,F_192,2026-08-17T04:50:00+00:00,2026-08-17T04:50:00+00:00,63627.798747,63447.332706,1000.0,-2.8363,,stop,0
0.5,BTCUSDT,F_192,2026-08-17T15:50:00+00:00,2026-08-17T17:10:00+00:00,64250.767555,63961.315324,1000.0,-4.505,,stop,16
0.5,BTCUSDT,F_192,2026-08-17T17:20:00+00:00,2026-08-17T17:30:00+00:00,64343.788325,64111.547681,1000.0,-3.6094,,stop,2
0.5,BTCUSDT,F_192,2026-08-17T23:25:00+00:00,2026-08-17T23:25:00+00:00,64500.121294,64362.746523,1000.0,-2.1298,,stop,0
0.5,BTCUSDT,F_192,2026-08-18T06:35:00+00:00,2026-08-18T06:45:00+00:00,64464.735352,64275.140332,1000.0,-2.9411,,stop,2
0.5,BTCUSDT,F_192,2026-08-18T14:05:00+00:00,2026-08-18T14:10:00+00:00,64455.673587,64201.26045,1000.0,-3.9471,,stop,1
0.5,BTCUSDT,F_192,2026-08-19T07:15:00+00:00,2026-08-19T07:15:00+00:00,64447.242641,64277.648641,1000.0,-2.6315,,stop,0
0.5,BTCUSDT,F_192,2026-08-19T14:40:00+00:00,2026-08-19T15:05:00+00:00,65575.147013,66155.783974,1000.0,8.8545,,tp,5
0.5,BTCUSDT,F_192,2026-08-19T20:05:00+00:00,2026-08-19T20:50:00+00:00,68599.343364,69064.605363,1000.0,6.7823,,tp,9
0.5,BTCUSDT,F_192,2026-08-20T01:50:00+00:00,2026-08-20T02:10:00+00:00,69910.776013,69534.382221,1000.0,-5.3839,,stop,4
0.5,BTCUSDT,F_192,2026-08-20T06:25:00+00:00,2026-08-20T06:25:00+00:00,69774.5892,69481.482839,1000.0,-4.2008,,stop,0
0.5,BTCUSDT,F_192,2026-08-20T06:40:00+00:00,2026-08-20T07:30:00+00:00,69815.04172,69520.049442,1000.0,-4.2253,,stop,10
0.5,BTCUSDT,F_192,2026-08-20T09:10:00+00:00,2026-08-20T13:35:00+00:00,71977.459213,71166.356807,1000.0,-11.2688,,stop,53
0.5,BTCUSDT,F_192,2026-08-20T17:00:00+00:00,2026-08-20T17:10:00+00:00,72931.838295,72481.633803,1000.0,-6.1729,,stop,2
