NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-12T07:11:00+00:00,2026-07-12T11:46:00+00:00,76.639502,77.025177,1000.0,5.0323,,stop,275
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-12T11:36:00+00:00,2026-07-12T12:01:00+00:00,77.080074,76.798677,1000.0,-3.6507,,stop,25
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-12T13:06:00+00:00,2026-07-12T13:21:00+00:00,77.50062,77.153048,1000.0,-4.4848,,stop,15
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-12T14:56:00+00:00,2026-07-12T15:00:00+00:00,77.690867,77.345901,1000.0,-4.4402,,stop,4
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-12T18:51:00+00:00,2026-07-12T19:14:00+00:00,77.720906,77.394448,1000.0,-4.2004,,stop,23
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-12T19:56:00+00:00,2026-07-12T20:02:00+00:00,77.811023,77.542943,1000.0,-3.4453,,stop,6
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-12T23:56:00+00:00,2026-07-13T00:06:00+00:00,76.99997,77.324188,1000.0,4.2106,,stop,10
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-13T00:11:00+00:00,2026-07-13T00:31:00+00:00,78.081374,77.577535,1000.0,-6.4527,,stop,20
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-13T05:11:00+00:00,2026-07-13T05:23:00+00:00,76.489307,76.057446,1000.0,-5.646,,stop,12
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-13T07:36:00+00:00,2026-07-13T07:41:00+00:00,76.779684,76.381687,1000.0,-5.1836,,stop,5
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-13T08:51:00+00:00,2026-07-13T08:55:00+00:00,76.929879,76.584475,1000.0,-4.4899,,stop,4
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-13T15:21:00+00:00,2026-07-13T15:42:00+00:00,76.279034,75.663401,1000.0,-8.0708,,stop,21
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-13T20:01:00+00:00,2026-07-13T20:17:00+00:00,75.267721,74.89309,1000.0,-4.9773,,stop,16
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-13T23:26:00+00:00,2026-07-13T23:44:00+00:00,74.89724,74.573026,1000.0,-4.3288,,stop,18
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-13T23:56:00+00:00,2026-07-14T01:05:00+00:00,75.017396,75.241079,1000.0,2.9818,,stop,69
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T00:56:00+00:00,2026-07-14T02:02:00+00:00,75.508033,75.084582,1000.0,-5.608,,stop,66
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T04:06:00+00:00,2026-07-14T04:18:00+00:00,75.387877,74.968862,1000.0,-5.5581,,stop,12
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T05:11:00+00:00,2026-07-14T06:07:00+00:00,75.488007,75.137344,1000.0,-4.6453,,stop,56
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T08:31:00+00:00,2026-07-14T08:51:00+00:00,75.427929,75.083051,1000.0,-4.5723,,stop,20
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T10:51:00+00:00,2026-07-14T12:06:00+00:00,75.508033,75.174465,1000.0,-4.4177,,stop,75
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T12:36:00+00:00,2026-07-14T12:53:00+00:00,76.349125,76.506892,1000.0,2.0664,,stop,17
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T13:01:00+00:00,2026-07-14T13:24:00+00:00,76.809723,77.536911,1000.0,9.4674,,stop,23
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T13:26:00+00:00,2026-07-14T13:48:00+00:00,77.570711,76.732258,1000.0,-10.8089,,stop,22
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T15:36:00+00:00,2026-07-14T16:01:00+00:00,77.670841,77.090493,1000.0,-7.4719,,stop,25
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T21:16:00+00:00,2026-07-14T21:25:00+00:00,77.420516,77.147237,1000.0,-3.5298,,stop,9
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-14T22:26:00+00:00,2026-07-15T01:50:00+00:00,77.630789,77.261647,1000.0,-4.7551,,stop,204
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-15T03:36:00+00:00,2026-07-15T03:40:00+00:00,77.841062,77.47022,1000.0,-4.7641,,stop,4
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-15T04:51:00+00:00,2026-07-15T05:11:00+00:00,78.121426,77.744512,1000.0,-4.8247,,stop,20
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-15T06:01:00+00:00,2026-07-15T06:57:00+00:00,78.40179,77.927495,1000.0,-6.0495,,stop,56
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-15T09:21:00+00:00,2026-07-15T09:30:00+00:00,77.991257,77.670154,1000.0,-4.1172,,stop,9
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-15T12:51:00+00:00,2026-07-15T13:08:00+00:00,78.1014,78.834182,1000.0,9.3824,,stop,17
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-15T13:06:00+00:00,2026-07-15T13:45:00+00:00,78.792297,78.16769,1000.0,-7.9273,,stop,39
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-15T18:16:00+00:00,2026-07-15T18:51:00+00:00,78.051335,77.58891,1000.0,-5.9246,,stop,35
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-15T22:31:00+00:00,2026-07-15T22:40:00+00:00,77.790997,77.468728,1000.0,-4.1428,,stop,9
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-16T05:26:00+00:00,2026-07-16T07:28:00+00:00,77.370451,76.973113,1000.0,-5.1355,,stop,122
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-16T13:26:00+00:00,2026-07-16T13:48:00+00:00,76.449255,76.045981,1000.0,-5.2751,,stop,22
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-16T14:11:00+00:00,2026-07-16T14:55:00+00:00,76.749645,76.257524,1000.0,-6.412,,stop,44
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-17T00:56:00+00:00,2026-07-17T01:41:00+00:00,75.628189,75.233116,1000.0,-5.2239,,stop,45
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-17T09:41:00+00:00,2026-07-17T12:31:00+00:00,74.837162,74.497332,1000.0,-4.5409,,stop,170
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-17T11:41:00+00:00,2026-07-17T11:42:00+00:00,75.0975,74.821534,1000.0,-3.6748,,stop,1
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-17T16:46:00+00:00,2026-07-17T17:12:00+00:00,75.147565,75.350717,1000.0,2.7034,,stop,26
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-18T00:16:00+00:00,2026-07-18T00:24:00+00:00,75.327799,75.081495,1000.0,-3.2698,,stop,8
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-18T02:36:00+00:00,2026-07-18T02:37:00+00:00,75.528059,75.277214,1000.0,-3.3212,,stop,1
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-18T11:26:00+00:00,2026-07-18T11:26:00+00:00,75.107513,74.921417,1000.0,-2.4777,,stop,0
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-18T12:06:00+00:00,2026-07-18T12:07:00+00:00,75.227669,75.007176,1000.0,-2.931,,stop,1
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-18T14:56:00+00:00,2026-07-18T14:57:00+00:00,75.077474,74.821508,1000.0,-3.4094,,stop,1
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-18T18:06:00+00:00,2026-07-18T18:43:00+00:00,75.467981,75.10593,1000.0,-4.7974,,stop,37
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-18T20:16:00+00:00,2026-07-18T20:28:00+00:00,75.588137,75.337214,1000.0,-3.3196,,stop,12
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-19T01:56:00+00:00,2026-07-19T02:08:00+00:00,75.768371,76.048408,1000.0,3.696,,stop,12
dual,0.005,0.0015,SOLUSDT,F_197,2026-07-19T02:36:00+00:00,2026-07-19T02:51:00+00:00,76.549385,76.107459,1000.0,-5.7731,,stop,15
