NOVA_BODY,NOVA_RNG_ATR,NOVA_LB,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.6,0.8,50,BNBUSDT,F_126,2026-08-16T09:00:00+00:00,2026-08-16T09:00:00+00:00,608.199633,606.728431,1000.0,-2.4189,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-16T09:05:00+00:00,2026-08-16T09:05:00+00:00,608.439945,606.95131,1000.0,-2.4466,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-17T04:50:00+00:00,2026-08-17T04:50:00+00:00,606.797813,605.272791,1000.0,-2.5132,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-17T05:00:00+00:00,2026-08-17T05:00:00+00:00,607.228372,605.669976,1000.0,-2.5664,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-17T05:20:00+00:00,2026-08-17T05:20:00+00:00,607.608866,605.928705,1000.0,-2.7652,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-17T06:50:00+00:00,2026-08-17T06:50:00+00:00,607.819139,606.307057,1000.0,-2.4877,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-17T13:50:00+00:00,2026-08-17T13:50:00+00:00,607.438645,605.764412,1000.0,-2.7562,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-17T15:00:00+00:00,2026-08-17T15:00:00+00:00,608.219659,606.025087,1000.0,-3.6082,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-17T16:50:00+00:00,2026-08-17T16:50:00+00:00,608.760361,607.104384,1000.0,-2.7202,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-17T23:35:00+00:00,2026-08-17T23:35:00+00:00,607.278437,605.93113,1000.0,-2.2186,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-18T06:20:00+00:00,2026-08-18T06:20:00+00:00,604.755161,603.408281,1000.0,-2.2271,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-18T06:25:00+00:00,2026-08-18T06:25:00+00:00,605.235785,603.868306,1000.0,-2.2594,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-18T06:30:00+00:00,2026-08-18T06:30:00+00:00,605.616279,604.18981,1000.0,-2.3554,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-18T14:25:00+00:00,2026-08-18T14:50:00+00:00,603.914069,601.819257,1000.0,-3.4687,,stop,5
0.6,0.8,50,BNBUSDT,F_126,2026-08-18T23:35:00+00:00,2026-08-18T23:35:00+00:00,604.855291,603.559642,1000.0,-2.1421,,stop,0
0.6,0.8,50,BNBUSDT,F_126,2026-08-19T00:30:00+00:00,2026-08-19T00:30:00+00:00,605.08559,603.5471,1000.0,-2.5426,,stop,0
