symbol,NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,net,trades,win_pct,pf
GRAMUSDT,15,200,3,-38.21071410418762,1847,55.06,0.647323858150954
GRAMUSDT,15,200,5,-38.34614598778914,1850,55.03,0.6467237507228906
GRAMUSDT,15,200,10,-38.03921480108488,1829,55.0,0.6458534799372029
RENDERUSDT,5,100,3,-9.961420015942817,539,65.86,0.7368725566725343
RENDERUSDT,5,100,5,-10.148163989057302,539,65.68,0.7328069093195144
RENDERUSDT,5,100,10,-10.148163989057302,539,65.68,0.7328069093195144
RENDERUSDT,5,200,3,-12.275180545840893,628,65.29,0.7221777785116166
RENDERUSDT,5,200,5,-12.275180545840893,628,65.29,0.7221777785116166
RENDERUSDT,5,200,10,-12.275180545840893,628,65.29,0.7221777785116166
RENDERUSDT,10,100,3,-20.86646680751988,1146,66.4,0.7371239711224467
RENDERUSDT,10,100,5,-20.8009368883161,1147,66.43,0.7379440808113268
RENDERUSDT,10,100,10,-20.8009368883161,1147,66.43,0.7379440808113268
RENDERUSDT,10,200,3,-24.341021386939723,1285,65.76,0.7300074830814557
RENDERUSDT,10,200,5,-24.462235440850428,1286,65.71,0.7290272943757682
RENDERUSDT,10,200,10,-24.526118440850432,1285,65.68,0.7283196505712904
RENDERUSDT,15,100,3,-32.68650619213717,1751,65.85,0.734275800468682
RENDERUSDT,15,100,5,-32.94790657785784,1756,65.83,0.7331336354297056
RENDERUSDT,15,100,10,-32.40227941891707,1728,65.86,0.7331931104515866
RENDERUSDT,15,200,3,-35.396356232501105,1901,65.81,0.7353787528411857
RENDERUSDT,15,200,5,-35.78061759133627,1907,65.76,0.7336527868758761
RENDERUSDT,15,200,10,-35.3170817404612,1880,65.8,0.73348397494249
FILUSDT,5,100,3,-31.015718586893556,1689,58.56,0.6927903914666781
FILUSDT,5,100,5,-31.207848032082524,1695,58.47,0.6918637022807025
FILUSDT,5,100,10,-31.207848032082524,1695,58.47,0.6918637022807025
FILUSDT,5,200,3,-44.51672033463563,2151,56.53,0.6614657426370666
FILUSDT,5,200,5,-44.692758186320695,2155,56.47,0.6607460096958241
FILUSDT,5,200,10,-44.692758186320695,2155,56.47,0.6607460096958241
FILUSDT,10,100,3,-69.88071717340713,3669,58.03,0.6870860944074857
FILUSDT,10,100,5,-69.96905070230508,3682,58.01,0.687440052751664
FILUSDT,10,100,10,-70.22197634068279,3678,57.97,0.6863065519830084
FILUSDT,10,200,3,-94.52161577258774,4394,56.4,0.6559653583256455
FILUSDT,10,200,5,-94.64828955739206,4412,56.39,0.6564614784222262
FILUSDT,10,200,10,-94.67685549379763,4407,56.36,0.6560744675323115
FILUSDT,15,100,3,-119.60849602621457,5542,57.18,0.6571630917783061
FILUSDT,15,100,5,-119.8889404224006,5562,57.12,0.6574930673408015
FILUSDT,15,100,10,-118.83288741190039,5488,57.05,0.6561079870928443
FILUSDT,15,200,3,-148.68226575448753,6438,56.0,0.6390489858853997
FILUSDT,15,200,5,-148.97657385768767,6460,55.98,0.6393044956343055
FILUSDT,15,200,10,-146.16628663818972,6392,56.04,0.6414779638686567
