symbol,NOVA_SCORE_TH,NOVA_FLOW_MOM,NOVA_VOL_MOM,net,trades,win_pct,pf
SOLUSDT,75,2.5,2.5,17.972827692231732,223,84.3,2.019201978517609
SOLUSDT,75,2.5,3.0,15.485960617925778,200,83.5,1.9452734754592187
SOLUSDT,75,3.0,2.0,18.894009008128048,238,85.29,2.0296936681355633
SOLUSDT,75,3.0,2.5,17.098506188443615,215,84.65,2.0310428966997636
SOLUSDT,75,3.0,3.0,15.209149667812797,196,84.18,1.991987119046574
SOLUSDT,75,4.0,2.0,17.101281399801206,212,85.38,2.089222477085314
SOLUSDT,75,4.0,2.5,15.523565449287565,197,84.77,2.020434798954731
SOLUSDT,75,4.0,3.0,14.20462946528378,183,84.15,1.9918890600187977
XLMUSDT,70,2.5,2.0,22.914778283547033,161,80.12,2.9864755008015607
XLMUSDT,70,2.5,2.5,20.373705029659597,143,79.72,2.9297558049989503
XLMUSDT,70,2.5,3.0,19.07152884537277,126,76.98,2.8724655781689363
XLMUSDT,70,3.0,2.0,18.89334972173213,152,78.29,2.593784399009611
XLMUSDT,70,3.0,2.5,17.568601733715383,136,77.94,2.615257011264427
XLMUSDT,70,3.0,3.0,17.107316910299005,123,76.42,2.687669701259271
XLMUSDT,70,4.0,2.0,18.321385602456402,125,76.8,2.83105369251207
XLMUSDT,70,4.0,2.5,16.651163978798746,112,75.89,2.7823733586439303
XLMUSDT,70,4.0,3.0,15.399980351543078,100,74.0,2.6962469831481513
XLMUSDT,72,2.5,2.0,22.914778283547033,161,80.12,2.9864755008015607
XLMUSDT,72,2.5,2.5,20.373705029659597,143,79.72,2.9297558049989503
XLMUSDT,72,2.5,3.0,19.07152884537277,126,76.98,2.8724655781689363
XLMUSDT,72,3.0,2.0,18.89334972173213,152,78.29,2.593784399009611
XLMUSDT,72,3.0,2.5,17.568601733715383,136,77.94,2.615257011264427
XLMUSDT,72,3.0,3.0,17.107316910299005,123,76.42,2.687669701259271
XLMUSDT,72,4.0,2.0,18.321385602456402,125,76.8,2.83105369251207
XLMUSDT,72,4.0,2.5,16.651163978798746,112,75.89,2.7823733586439303
XLMUSDT,72,4.0,3.0,15.399980351543078,100,74.0,2.6962469831481513
XLMUSDT,75,2.5,2.0,22.914778283547033,161,80.12,2.9864755008015607
XLMUSDT,75,2.5,2.5,20.373705029659597,143,79.72,2.9297558049989503
XLMUSDT,75,2.5,3.0,19.07152884537277,126,76.98,2.8724655781689363
XLMUSDT,75,3.0,2.0,18.89334972173213,152,78.29,2.593784399009611
XLMUSDT,75,3.0,2.5,17.568601733715383,136,77.94,2.615257011264427
XLMUSDT,75,3.0,3.0,17.107316910299005,123,76.42,2.687669701259271
XLMUSDT,75,4.0,2.0,18.321385602456402,125,76.8,2.83105369251207
XLMUSDT,75,4.0,2.5,16.651163978798746,112,75.89,2.7823733586439303
XLMUSDT,75,4.0,3.0,15.399980351543078,100,74.0,2.6962469831481513
LINKUSDT,70,2.5,2.0,19.18899628184287,225,85.78,2.2422240310808563
LINKUSDT,70,2.5,2.5,16.780325756101462,202,85.15,2.1441707549686893
LINKUSDT,70,2.5,3.0,17.110833532252805,179,86.03,2.453238637789626
LINKUSDT,70,3.0,2.0,19.454496265862296,218,86.24,2.319383956606131
LINKUSDT,70,3.0,2.5,17.323590553643385,198,85.86,2.2406095790037637
LINKUSDT,70,3.0,3.0,16.438120857999877,174,86.21,2.430769298907201
LINKUSDT,70,4.0,2.0,19.952618578258736,183,87.43,2.7983687147346563
LINKUSDT,70,4.0,2.5,18.103461668313628,171,87.13,2.696507413160082
LINKUSDT,70,4.0,3.0,17.32351745388116,154,87.01,2.887071806909177
LINKUSDT,72,2.5,2.0,19.18899628184287,225,85.78,2.2422240310808563
LINKUSDT,72,2.5,2.5,16.780325756101462,202,85.15,2.1441707549686893
LINKUSDT,72,2.5,3.0,17.110833532252805,179,86.03,2.453238637789626
LINKUSDT,72,3.0,2.0,19.454496265862296,218,86.24,2.319383956606131
LINKUSDT,72,3.0,2.5,17.323590553643385,198,85.86,2.2406095790037637
