symbol,NOVA_SMA,NOVA_EMA_FAST,NOVA_OSC_P,net,trades,win_pct,pf
SOLUSDT,50,5,2,93.20693212450523,1692,84.22,1.6594651879830364
SOLUSDT,50,5,7,141.65926793153096,2214,86.0,1.8826604698049734
SOLUSDT,50,5,14,139.93339168883412,2241,85.94,1.8527026481361566
SOLUSDT,50,7,2,92.512286326529,1682,84.3,1.6586508025273419
SOLUSDT,50,7,7,144.2249299630238,2281,85.8,1.8623415555031686
SOLUSDT,50,7,14,142.31276324788084,2316,85.54,1.8265344634127874
SOLUSDT,50,9,2,93.19530521453892,1682,84.42,1.6634267433957666
SOLUSDT,50,9,7,155.825810791556,2351,86.13,1.931624611662441
SOLUSDT,50,9,14,152.79754807366868,2398,85.78,1.87410648399537
SOLUSDT,100,5,2,95.18988076812884,1591,85.29,1.766052864079986
SOLUSDT,100,5,7,132.15993002973124,2077,86.09,1.8802365060906516
SOLUSDT,100,5,14,132.29578817715588,2120,86.04,1.854934938786321
SOLUSDT,100,7,2,98.91628596033024,1557,85.68,1.8268895676873342
SOLUSDT,100,7,7,135.47373179351837,2118,85.88,1.8723571690858325
SOLUSDT,100,7,14,137.67832285782947,2163,85.85,1.8671867119417942
SOLUSDT,100,9,2,93.19882830639467,1539,85.38,1.7592832664657572
SOLUSDT,100,9,7,151.5672999596017,2162,86.82,2.03144254944394
SOLUSDT,100,9,14,151.17136238751579,2210,86.65,1.9837421841156382
XLMUSDT,20,5,2,71.22867936497656,1871,79.53,1.5217214235591954
XLMUSDT,20,5,7,91.47250447910397,2422,80.14,1.5356800788064375
XLMUSDT,20,5,14,99.28761330234889,2421,80.26,1.5871056277291342
XLMUSDT,20,7,2,71.72752111422238,1890,79.26,1.5214364473552757
XLMUSDT,20,7,7,85.01113048962438,2568,79.13,1.4542690014828294
XLMUSDT,20,7,14,90.0696462052284,2581,78.92,1.4746846153964048
XLMUSDT,20,9,2,69.54612424025646,1901,79.01,1.495608787709204
XLMUSDT,20,9,7,76.89914189622746,2676,78.85,1.3799387529924094
XLMUSDT,20,9,14,88.28207244316074,2689,78.95,1.4406895649376692
XLMUSDT,50,5,2,59.706451321669235,1577,78.0,1.4846010080135288
XLMUSDT,50,5,7,74.12841314876125,2070,78.74,1.4767504955728856
XLMUSDT,50,5,14,80.13354618507798,2095,78.76,1.5089390000087088
XLMUSDT,50,7,2,63.048085346241855,1572,78.24,1.5253127736019287
XLMUSDT,50,7,7,69.21624855374482,2165,78.71,1.4229050826990093
XLMUSDT,50,7,14,73.48365999825373,2195,78.68,1.441335847279437
XLMUSDT,50,9,2,61.41929373181485,1568,78.0,1.5085258201415985
XLMUSDT,50,9,7,65.7373548720618,2230,78.43,1.3820747658824712
XLMUSDT,50,9,14,73.85762264434342,2264,78.49,1.428856399016793
XLMUSDT,100,5,2,62.48266103602919,1419,79.42,1.564765177435278
XLMUSDT,100,5,7,74.3479589984224,1843,79.11,1.5345823418590059
XLMUSDT,100,5,14,82.87244854882758,1875,79.41,1.5947381826114526
XLMUSDT,100,7,2,67.69890331168395,1396,80.01,1.6451814055228362
XLMUSDT,100,7,7,72.99264187221596,1904,79.99,1.5203267978940576
XLMUSDT,100,7,14,77.29973954374059,1939,79.94,1.5385901823986015
XLMUSDT,100,9,2,64.82104529308282,1385,79.64,1.612557979981337
XLMUSDT,100,9,7,70.10458475995631,1956,79.7,1.4700674905379547
XLMUSDT,100,9,14,81.54363668720042,1990,80.0,1.5526478509085695
LINKUSDT,20,5,2,106.90015023326393,1846,85.92,1.8463230172332894
LINKUSDT,20,5,7,147.21830882631025,2419,86.94,1.9605607538527885
LINKUSDT,20,5,14,149.38329779475905,2423,87.04,1.9827014675610568
LINKUSDT,20,7,2,109.08688066358468,1863,86.15,1.8701912058968724
LINKUSDT,20,7,7,139.94078120846677,2565,86.51,1.833783888676589
LINKUSDT,20,7,14,142.042848591156,2577,86.69,1.8550784022088587
LINKUSDT,20,9,2,110.64558406793722,1884,86.04,1.8749086177995626
LINKUSDT,20,9,7,149.48038254754675,2656,86.56,1.8723190012403481
LINKUSDT,20,9,14,150.86513018134605,2678,86.71,1.8806833696716458
LINKUSDT,50,5,2,99.84854021870946,1608,86.07,1.8861307281468516
LINKUSDT,50,5,7,132.09739062793784,2104,86.64,1.958656336404071
LINKUSDT,50,5,14,132.8202852669195,2135,86.65,1.9389389340805243
LINKUSDT,50,7,2,106.49943156543272,1587,86.7,2.0177468735870545
LINKUSDT,50,7,7,125.61470527406728,2190,86.26,1.852033749305551
LINKUSDT,50,7,14,129.47119087330506,2226,86.43,1.8773043507206941
LINKUSDT,50,9,2,107.36544897531407,1583,86.73,2.0472532277307254
LINKUSDT,50,9,7,135.66098413352407,2241,86.66,1.9293978860873378
LINKUSDT,50,9,14,140.1607478663613,2285,86.83,1.9540173425123288
LINKUSDT,100,5,2,93.62115725969556,1525,85.77,1.8620866219426135
LINKUSDT,100,5,7,121.79390680259515,1968,86.08,1.9163854384010282
LINKUSDT,100,5,14,123.43661990824775,2017,86.17,1.8994903481709555
LINKUSDT,100,7,2,93.71328667379926,1489,85.9,1.905241164356455
LINKUSDT,100,7,7,116.05426185156847,2025,85.83,1.8226117275720155
LINKUSDT,100,7,14,118.2216776218336,2075,85.93,1.8181541096061669
LINKUSDT,100,9,2,98.03587617327754,1465,86.42,2.0119090852866717
LINKUSDT,100,9,7,119.33733340495814,2057,86.0,1.8488554398612753
LINKUSDT,100,9,14,126.90220009053412,2103,86.31,1.9034924306850969
GRAMUSDT,20,5,2,13.017845634801105,582,80.07,1.2636731665202148
GRAMUSDT,20,5,7,21.01843108658138,722,81.99,1.378169415942186
GRAMUSDT,20,5,14,20.991044460484204,720,81.94,1.3786594492898425
GRAMUSDT,20,7,2,14.473003095175368,585,80.51,1.3013057759535076
GRAMUSDT,20,7,7,21.046245482793836,765,82.75,1.3793153913638065
GRAMUSDT,20,7,14,20.96231862813196,765,82.61,1.3774054249447276
GRAMUSDT,20,9,2,15.986181449316192,591,81.22,1.340144656404351
GRAMUSDT,20,9,7,21.95133249498807,795,82.26,1.3613647927035242
GRAMUSDT,20,9,14,23.279149137092233,796,82.29,1.3843796943963056
GRAMUSDT,50,5,2,15.219396846363693,487,81.11,1.3966034830295404
GRAMUSDT,50,5,7,19.499118729857067,596,83.56,1.4608972144149894
GRAMUSDT,50,5,14,18.478327930754197,601,83.19,1.424050842670557
GRAMUSDT,50,7,2,16.110093157815403,483,81.57,1.4320777524310904
GRAMUSDT,50,7,7,17.745792526142235,623,83.15,1.4050601763047839
GRAMUSDT,50,7,14,17.215781930810838,628,82.96,1.3850641853549632
GRAMUSDT,50,9,2,16.937070689204436,486,82.51,1.4811173437511354
GRAMUSDT,50,9,7,20.02033308886965,639,83.57,1.4476110437658425
GRAMUSDT,50,9,14,19.825008858657327,647,83.31,1.4307853782527071
GRAMUSDT,100,5,2,9.917303011094367,439,80.87,1.2733015322842292
GRAMUSDT,100,5,7,10.60562053346236,535,81.5,1.244255080828191
GRAMUSDT,100,5,14,10.180371303553084,541,81.33,1.2308539361983801
GRAMUSDT,100,7,2,10.192560698376086,437,80.78,1.2885587375145633
GRAMUSDT,100,7,7,12.68674758485297,546,82.97,1.3079289629505229
GRAMUSDT,100,7,14,12.344302111806101,553,82.82,1.294317993670236
GRAMUSDT,100,9,2,10.959047253056395,434,81.11,1.319711488846894
GRAMUSDT,100,9,7,10.910529558769301,558,82.26,1.2483051869415567
GRAMUSDT,100,9,14,12.10570581149041,566,82.51,1.2755197743618791
RENDERUSDT,20,5,2,37.382613720946416,582,86.94,1.6713431218700947
RENDERUSDT,20,5,7,54.21566217601952,770,87.4,1.7839180636373657
RENDERUSDT,20,5,14,56.43485100788334,775,87.48,1.8333606088643823
RENDERUSDT,20,7,2,36.101630783872594,587,86.88,1.6400841956326313
RENDERUSDT,20,7,7,53.04282712363011,805,87.33,1.731984371220499
RENDERUSDT,20,7,14,55.126691102491485,811,87.42,1.7762402430022322
RENDERUSDT,20,9,2,36.26421887747661,588,86.73,1.6375354544828264
RENDERUSDT,20,9,7,58.49659243536403,825,87.52,1.8038072338982725
RENDERUSDT,20,9,14,60.175054493440705,833,87.64,1.8436440199407438
RENDERUSDT,50,5,2,32.05247094121576,483,86.75,1.7000181159133565
RENDERUSDT,50,5,7,66.2546985029767,635,89.61,2.4753055049304984
RENDERUSDT,50,5,14,66.34938493496882,641,89.55,2.4587593634552003
RENDERUSDT,50,7,2,32.233459293780136,477,87.21,1.7441168761755688
RENDERUSDT,50,7,7,63.210129970127774,654,89.6,2.3544323963853144
RENDERUSDT,50,7,14,63.23547160187814,662,89.58,2.33869142479929
RENDERUSDT,50,9,2,33.03603623672539,476,87.61,1.7764801523284768
RENDERUSDT,50,9,7,64.86263156804662,669,89.54,2.3269428062346167
RENDERUSDT,50,9,14,64.16064940551777,678,89.53,2.2975130352112054
RENDERUSDT,100,5,2,35.140618937918155,457,87.96,1.8774066161937073
RENDERUSDT,100,5,7,62.009004604211185,593,90.22,2.5076165259689365
RENDERUSDT,100,5,14,62.03512105410865,603,90.05,2.465004562458263
RENDERUSDT,100,7,2,34.5337280058683,443,88.71,1.9329710413918377
RENDERUSDT,100,7,7,59.070358937038336,599,90.65,2.441861971271161
RENDERUSDT,100,7,14,59.588761955205804,609,90.64,2.434408087418344
RENDERUSDT,100,9,2,35.24890349571528,440,88.86,1.9787888435535679
RENDERUSDT,100,9,7,59.96042877821701,609,90.31,2.4445840130128857
RENDERUSDT,100,9,14,59.49968524127411,620,90.32,2.4139204997007955
FILUSDT,20,5,2,98.16515207817987,1928,83.77,1.6495550231455345
FILUSDT,20,5,7,121.4195487415637,2478,84.42,1.6363581957340894
