exp,symbol,neighbour,is_center,net,trades,pf,positive
F_001_rsi2_snap,RENDERUSDT,rsi2_os=15/sma_trend=200/sma_pull=3,True,27.4855,124,4.15,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=15/sma_trend=200/sma_pull=4,False,27.4855,124,4.15,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=15/sma_trend=240/sma_pull=2,False,25.6884,126,3.5184,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=15/sma_trend=240/sma_pull=3,False,27.0617,130,3.6531,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=15/sma_trend=240/sma_pull=4,False,27.0617,130,3.6531,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=18/sma_trend=160/sma_pull=2,False,31.6845,132,4.887,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=18/sma_trend=160/sma_pull=3,False,33.5831,138,5.12,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=18/sma_trend=160/sma_pull=4,False,33.5831,138,5.12,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=18/sma_trend=200/sma_pull=2,False,31.1206,135,4.4084,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=18/sma_trend=200/sma_pull=3,False,33.0193,141,4.6163,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=18/sma_trend=200/sma_pull=4,False,33.0193,141,4.6163,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=18/sma_trend=240/sma_pull=2,False,30.2641,141,3.8668,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=18/sma_trend=240/sma_pull=3,False,32.8217,147,4.1091,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=18/sma_trend=240/sma_pull=4,False,32.8217,147,4.1091,True
F_001_rsi2_snap,FILUSDT,rsi2_os=12/sma_trend=160/sma_pull=2,False,9.9935,74,2.6936,True
F_001_rsi2_snap,FILUSDT,rsi2_os=12/sma_trend=160/sma_pull=3,False,9.9935,74,2.6936,True
F_001_rsi2_snap,FILUSDT,rsi2_os=12/sma_trend=160/sma_pull=4,False,9.9935,74,2.6936,True
F_001_rsi2_snap,FILUSDT,rsi2_os=12/sma_trend=200/sma_pull=2,False,9.3817,73,2.5899,True
F_001_rsi2_snap,FILUSDT,rsi2_os=12/sma_trend=200/sma_pull=3,False,9.3817,73,2.5899,True
F_001_rsi2_snap,FILUSDT,rsi2_os=12/sma_trend=200/sma_pull=4,False,9.3817,73,2.5899,True
F_001_rsi2_snap,FILUSDT,rsi2_os=12/sma_trend=240/sma_pull=2,False,7.7349,66,2.3108,True
F_001_rsi2_snap,FILUSDT,rsi2_os=12/sma_trend=240/sma_pull=3,False,7.7349,66,2.3108,True
F_001_rsi2_snap,FILUSDT,rsi2_os=12/sma_trend=240/sma_pull=4,False,7.7349,66,2.3108,True
F_001_rsi2_snap,FILUSDT,rsi2_os=15/sma_trend=160/sma_pull=2,False,13.7819,95,2.5434,True
F_001_rsi2_snap,FILUSDT,rsi2_os=15/sma_trend=160/sma_pull=3,False,13.7819,95,2.5434,True
F_001_rsi2_snap,FILUSDT,rsi2_os=15/sma_trend=160/sma_pull=4,False,13.7819,95,2.5434,True
F_001_rsi2_snap,FILUSDT,rsi2_os=15/sma_trend=200/sma_pull=2,False,13.5151,95,2.5135,True
F_001_rsi2_snap,FILUSDT,rsi2_os=15/sma_trend=200/sma_pull=3,True,13.5151,95,2.5135,True
F_001_rsi2_snap,FILUSDT,rsi2_os=15/sma_trend=200/sma_pull=4,False,13.5151,95,2.5135,True
F_001_rsi2_snap,FILUSDT,rsi2_os=15/sma_trend=240/sma_pull=2,False,12.9091,86,2.5665,True
F_001_rsi2_snap,FILUSDT,rsi2_os=15/sma_trend=240/sma_pull=3,False,12.9091,86,2.5665,True
F_001_rsi2_snap,FILUSDT,rsi2_os=15/sma_trend=240/sma_pull=4,False,12.9091,86,2.5665,True
F_001_rsi2_snap,FILUSDT,rsi2_os=18/sma_trend=160/sma_pull=2,False,16.2513,117,2.9311,True
F_001_rsi2_snap,FILUSDT,rsi2_os=18/sma_trend=160/sma_pull=3,False,15.1227,118,2.6449,True
F_001_rsi2_snap,FILUSDT,rsi2_os=18/sma_trend=160/sma_pull=4,False,15.1227,118,2.6449,True
F_001_rsi2_snap,FILUSDT,rsi2_os=18/sma_trend=200/sma_pull=2,False,15.3154,118,2.8199,True
F_001_rsi2_snap,FILUSDT,rsi2_os=18/sma_trend=200/sma_pull=3,False,14.1868,119,2.5431,True
F_001_rsi2_snap,FILUSDT,rsi2_os=18/sma_trend=200/sma_pull=4,False,14.1868,119,2.5431,True
F_001_rsi2_snap,FILUSDT,rsi2_os=18/sma_trend=240/sma_pull=2,False,11.4615,98,2.4922,True
F_001_rsi2_snap,FILUSDT,rsi2_os=18/sma_trend=240/sma_pull=3,False,10.3329,99,2.2215,True
F_001_rsi2_snap,FILUSDT,rsi2_os=18/sma_trend=240/sma_pull=4,False,10.3329,99,2.2215,True
F_008_turtle_soup,SOLUSDT,lookback=8/wick_ratio=0.4,False,7.3043,84,1.9001,True
F_008_turtle_soup,SOLUSDT,lookback=8/wick_ratio=0.5,False,4.734,61,1.7371,True
F_008_turtle_soup,SOLUSDT,lookback=8/wick_ratio=0.6,False,3.3659,32,2.1024,True
F_008_turtle_soup,SOLUSDT,lookback=10/wick_ratio=0.4,False,6.621,73,1.9488,True
F_008_turtle_soup,SOLUSDT,lookback=10/wick_ratio=0.5,True,4.2608,53,1.8061,True
F_008_turtle_soup,SOLUSDT,lookback=10/wick_ratio=0.6,False,2.2163,28,1.7259,True
F_008_turtle_soup,SOLUSDT,lookback=12/wick_ratio=0.4,False,6.1639,63,2.0474,True
F_008_turtle_soup,SOLUSDT,lookback=12/wick_ratio=0.5,False,5.142,46,2.4622,True
F_008_turtle_soup,SOLUSDT,lookback=12/wick_ratio=0.6,False,3.2957,23,3.5668,True
F_008_turtle_soup,XLMUSDT,lookback=8/wick_ratio=0.4,False,9.57,94,1.8331,True
F_008_turtle_soup,XLMUSDT,lookback=8/wick_ratio=0.5,False,2.9634,60,1.3047,True
F_008_turtle_soup,XLMUSDT,lookback=8/wick_ratio=0.6,False,0.4,37,1.0477,True
F_008_turtle_soup,XLMUSDT,lookback=10/wick_ratio=0.4,False,7.8412,89,1.6826,True
F_008_turtle_soup,XLMUSDT,lookback=10/wick_ratio=0.5,True,3.0763,58,1.3163,True
F_008_turtle_soup,XLMUSDT,lookback=10/wick_ratio=0.6,False,0.1213,35,1.0145,True
F_008_turtle_soup,XLMUSDT,lookback=12/wick_ratio=0.4,False,9.1183,84,1.968,True
F_008_turtle_soup,XLMUSDT,lookback=12/wick_ratio=0.5,False,4.2895,52,1.56,True
F_008_turtle_soup,XLMUSDT,lookback=12/wick_ratio=0.6,False,2.0654,32,1.327,True
F_008_turtle_soup,LINKUSDT,lookback=8/wick_ratio=0.4,False,7.5337,90,1.8594,True
F_008_turtle_soup,LINKUSDT,lookback=8/wick_ratio=0.5,False,8.2491,63,4.0687,True
F_008_turtle_soup,LINKUSDT,lookback=8/wick_ratio=0.6,False,3.869,31,3.5951,True
F_008_turtle_soup,LINKUSDT,lookback=10/wick_ratio=0.4,False,5.9683,82,1.6808,True
F_008_turtle_soup,LINKUSDT,lookback=10/wick_ratio=0.5,True,7.294,58,3.7134,True
F_008_turtle_soup,LINKUSDT,lookback=10/wick_ratio=0.6,False,3.869,31,3.5951,True
F_008_turtle_soup,LINKUSDT,lookback=12/wick_ratio=0.4,False,4.3058,73,1.4912,True
F_008_turtle_soup,LINKUSDT,lookback=12/wick_ratio=0.5,False,6.4955,53,3.4163,True
F_008_turtle_soup,LINKUSDT,lookback=12/wick_ratio=0.6,False,3.3798,29,3.2669,True
F_008_turtle_soup,FILUSDT,lookback=8/wick_ratio=0.4,False,12.2942,81,2.299,True
F_008_turtle_soup,FILUSDT,lookback=8/wick_ratio=0.5,False,9.2365,57,2.2637,True
F_008_turtle_soup,FILUSDT,lookback=8/wick_ratio=0.6,False,8.4527,39,3.8322,True
F_008_turtle_soup,FILUSDT,lookback=10/wick_ratio=0.4,False,10.7784,70,2.4883,True
F_008_turtle_soup,FILUSDT,lookback=10/wick_ratio=0.5,True,7.1179,48,2.1373,True
F_008_turtle_soup,FILUSDT,lookback=10/wick_ratio=0.6,False,7.8081,34,5.038,True
F_008_turtle_soup,FILUSDT,lookback=12/wick_ratio=0.4,False,7.8293,61,2.0811,True
F_008_turtle_soup,FILUSDT,lookback=12/wick_ratio=0.5,False,4.2966,41,1.6865,True
F_008_turtle_soup,FILUSDT,lookback=12/wick_ratio=0.6,False,5.0904,28,3.6325,True
F_165_score_entry,BTCUSDT,score_th=56/flow_mom=2.0/vol_mom=1.6,False,2.0259,91,1.238,True
F_165_score_entry,BTCUSDT,score_th=56/flow_mom=2.0/vol_mom=2.0,False,1.3228,90,1.1456,True
F_165_score_entry,BTCUSDT,score_th=56/flow_mom=2.0/vol_mom=2.4,False,0.7073,85,1.0778,True
F_165_score_entry,BTCUSDT,score_th=56/flow_mom=2.5/vol_mom=1.6,False,1.8203,90,1.2139,True
F_165_score_entry,BTCUSDT,score_th=56/flow_mom=2.5/vol_mom=2.0,False,2.191,87,1.2734,True
F_165_score_entry,BTCUSDT,score_th=56/flow_mom=2.5/vol_mom=2.4,False,1.7811,83,1.2223,True
