symbol,NOVA_EXIT,NOVA_TRIGGER,net,trades,win_pct,pf
XLMUSDT,std,ALL14,-4536.2356103005895,462,29.87,0.699520309043648
XLMUSDT,dual,MSS,0.0,0,0.0,0.0
XLMUSDT,dual,FVG,1988.1685757672487,188,90.43,3.7917048695838096
XLMUSDT,dual,SFP,259.56331887252696,31,96.77,10.022885473642152
XLMUSDT,dual,MicroBurst,1608.4837114407753,139,87.77,3.781948860545995
XLMUSDT,dual,RSI,323.9305918409484,39,92.31,3.3203798366910537
XLMUSDT,dual,MACD,444.9364670569719,118,84.75,1.7095762908178733
XLMUSDT,dual,Bollinger,1012.2348219910607,197,89.34,2.2651640454599766
XLMUSDT,dual,EMA,100.78821075573165,52,92.31,1.4604033734944646
XLMUSDT,dual,ADX,116.2767904663619,54,81.48,1.2937033272887022
XLMUSDT,dual,Stochastic,440.2027356783508,75,92.0,3.0061970878683297
XLMUSDT,dual,OBV,144.0717518493592,142,80.99,1.141431240085868
XLMUSDT,dual,SuperTrend,0.0,0,0.0,0.0
XLMUSDT,dual,RSI7,445.82589864147087,46,93.48,4.193540381608282
XLMUSDT,dual,KAMA,266.5094107455613,77,87.01,1.7007540071958565
XLMUSDT,dual,ELITE8,1785.3232930279303,399,87.47,1.9911660714947685
XLMUSDT,dual,ALL14,3655.7475781347225,584,88.18,2.40358983794239
LINKUSDT,std,MSS,79.24452871242838,3,66.67,2.838712407581314
LINKUSDT,std,FVG,2138.486282599455,137,41.61,1.496999569396885
LINKUSDT,std,SFP,429.54177646787514,37,37.84,1.3344267122639848
LINKUSDT,std,MicroBurst,-170.4944276548637,106,33.96,0.9547508684054021
LINKUSDT,std,RSI,636.0030630400313,34,38.24,1.5034119689366197
LINKUSDT,std,MACD,1226.6935111504602,85,42.35,1.4300071380061894
LINKUSDT,std,Bollinger,1169.9657653171557,115,39.13,1.2924424151519205
LINKUSDT,std,EMA,658.5582381481415,49,38.78,1.3887295085089741
LINKUSDT,std,ADX,-211.33895527177197,46,30.43,0.878646333772422
LINKUSDT,std,Stochastic,400.5417357459381,70,32.86,1.1597677840638334
LINKUSDT,std,OBV,1742.8556341497251,128,40.62,1.425943946191214
LINKUSDT,std,SuperTrend,0.0,0,0.0,0.0
LINKUSDT,std,RSI7,-280.3540639597905,42,26.19,0.8434354371990094
LINKUSDT,std,KAMA,1051.5889266135823,47,48.94,1.9254798256575547
LINKUSDT,std,ELITE8,2608.183880811944,303,37.29,1.251119820358393
LINKUSDT,std,ALL14,6112.806894901096,460,40.43,1.4025475324385441
LINKUSDT,dual,MSS,56.23630550327489,3,100.0,inf
LINKUSDT,dual,FVG,1381.0623253924407,207,89.86,2.4169707141512715
LINKUSDT,dual,SFP,338.9147776186533,44,93.18,3.8202567048820093
LINKUSDT,dual,MicroBurst,2081.2970187726446,152,93.42,5.180436015337908
LINKUSDT,dual,RSI,518.7981985143757,44,97.73,17.02690920560352
LINKUSDT,dual,MACD,1109.6594604679005,112,94.64,5.047351204375968
LINKUSDT,dual,Bollinger,1377.2260048848443,158,92.41,3.585167540172999
LINKUSDT,dual,EMA,349.68045152418455,63,87.3,1.8099372105574727
LINKUSDT,dual,ADX,330.92570872350865,54,88.89,2.3416650739882203
LINKUSDT,dual,Stochastic,654.8472007295251,94,89.36,2.4922889913074613
LINKUSDT,dual,OBV,1601.705277403176,189,90.48,2.6267920563660696
LINKUSDT,dual,SuperTrend,0.0,0,0.0,0.0
LINKUSDT,dual,RSI7,470.4921921804391,50,94.0,4.964772861850792
LINKUSDT,dual,KAMA,512.3397379224675,63,93.65,4.1562272558312765
LINKUSDT,dual,ELITE8,3357.1910370183127,428,90.65,2.6749762593020594
LINKUSDT,dual,ALL14,5136.330206306319,582,91.58,3.1608214807622845
GRAMUSDT,std,MSS,0.0,0,0.0,0.0
GRAMUSDT,std,FVG,200.39106657527694,37,35.14,1.1860830572393128
GRAMUSDT,std,SFP,-72.94389133843814,9,22.22,0.7337796168775655
GRAMUSDT,std,MicroBurst,-298.4679081396859,26,30.77,0.7125210296865907
GRAMUSDT,std,RSI,-474.0010048676837,15,20.0,0.41337087974452474
GRAMUSDT,std,MACD,-198.26232170444365,26,30.77,0.7800053876645254
GRAMUSDT,std,Bollinger,-411.4931897999632,37,24.32,0.6774764621126299
GRAMUSDT,std,EMA,89.74030461297787,13,38.46,1.213581510924781
GRAMUSDT,std,ADX,-395.75525254057675,11,9.09,0.21212874236232657
GRAMUSDT,std,Stochastic,-589.0921127174175,20,20.0,0.34230741817607085
GRAMUSDT,std,OBV,3.365562007157372,30,30.0,1.003715428540232
GRAMUSDT,std,SuperTrend,0.0,0,0.0,0.0
GRAMUSDT,std,RSI7,-407.9979757230237,12,16.67,0.32577947707456323
GRAMUSDT,std,KAMA,278.20757441817665,10,50.0,2.4548274613436627
GRAMUSDT,std,ELITE8,-1031.187330481881,82,26.83,0.6615902408752337
