NOVA_ZP,NOVA_ZTH,NOVA_WICK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
50,-1.5,0.6,LINKUSDT,F_015,2026-07-23T12:55:00+00:00,2026-07-23T13:00:00+00:00,8.569125,8.518323,1000.0,-5.9286,,stop,1
50,-1.5,0.6,LINKUSDT,F_015,2026-07-23T13:25:00+00:00,2026-07-23T14:00:00+00:00,8.528072,8.470903,1000.0,-6.7037,,stop,7
50,-1.5,0.6,LINKUSDT,F_015,2026-07-23T14:05:00+00:00,2026-07-23T15:05:00+00:00,8.507045,8.440058,1000.0,-7.8742,,stop,12
50,-1.5,0.6,LINKUSDT,F_015,2026-07-23T15:20:00+00:00,2026-07-24T00:30:00+00:00,8.461986,8.407328,1000.0,-6.4592,,stop,110
50,-1.5,0.6,LINKUSDT,F_015,2026-07-24T00:25:00+00:00,2026-07-24T00:25:00+00:00,8.467994,8.436013,1000.0,-3.7767,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-07-24T00:50:00+00:00,2026-07-24T02:30:00+00:00,8.437955,8.39731,1000.0,-4.8169,,stop,20
50,-1.5,0.6,LINKUSDT,F_015,2026-07-24T11:40:00+00:00,2026-07-24T11:45:00+00:00,8.461986,8.4293,1000.0,-3.8628,,stop,1
50,-1.5,0.6,LINKUSDT,F_015,2026-07-27T09:25:00+00:00,2026-07-27T11:25:00+00:00,8.790413,8.748739,1000.0,-4.7408,,stop,24
50,-1.5,0.6,LINKUSDT,F_015,2026-07-27T11:35:00+00:00,2026-07-27T12:10:00+00:00,8.777396,8.738022,1000.0,-4.4859,,stop,7
50,-1.5,0.6,LINKUSDT,F_015,2026-07-27T12:40:00+00:00,2026-07-27T13:30:00+00:00,8.753365,8.708172,1000.0,-5.1629,,stop,10
50,-1.5,0.6,LINKUSDT,F_015,2026-07-27T13:35:00+00:00,2026-07-27T13:40:00+00:00,8.741349,8.798182,1000.0,6.5016,,tp,1
50,-1.5,0.6,LINKUSDT,F_015,2026-07-27T14:50:00+00:00,2026-07-27T22:45:00+00:00,8.591154,8.488961,1000.0,-11.8951,,stop,95
50,-1.5,0.6,LINKUSDT,F_015,2026-07-27T15:05:00+00:00,2026-07-27T22:40:00+00:00,8.621193,8.520102,1000.0,-11.7258,,stop,91
50,-1.5,0.6,LINKUSDT,F_015,2026-07-27T22:10:00+00:00,2026-07-27T22:20:00+00:00,8.589151,8.557583,1000.0,-3.6753,,stop,2
50,-1.5,0.6,LINKUSDT,F_015,2026-07-30T20:35:00+00:00,2026-07-31T00:05:00+00:00,8.474002,8.432882,1000.0,-4.8525,,stop,42
50,-1.5,0.6,LINKUSDT,F_015,2026-08-02T08:45:00+00:00,2026-08-02T09:00:00+00:00,8.348839,8.311877,1000.0,-4.4272,,stop,3
50,-1.5,0.6,LINKUSDT,F_015,2026-08-07T17:05:00+00:00,2026-08-07T17:20:00+00:00,8.249711,8.201035,1000.0,-5.9002,,stop,3
50,-1.5,0.6,LINKUSDT,F_015,2026-08-07T17:40:00+00:00,2026-08-07T18:45:00+00:00,8.209659,8.162748,1000.0,-5.7141,,stop,13
50,-1.5,0.6,LINKUSDT,F_015,2026-08-08T23:20:00+00:00,2026-08-08T23:30:00+00:00,8.312793,8.288718,1000.0,-2.8961,,stop,2
50,-1.5,0.6,LINKUSDT,F_015,2026-08-09T03:20:00+00:00,2026-08-09T05:35:00+00:00,8.288761,8.260865,1000.0,-3.3655,,stop,27
50,-1.5,0.6,LINKUSDT,F_015,2026-08-09T05:50:00+00:00,2026-08-09T05:50:00+00:00,8.280751,8.257574,1000.0,-2.7989,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-08-09T12:55:00+00:00,2026-08-09T12:55:00+00:00,8.295771,8.274856,1000.0,-2.5211,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-08-09T19:20:00+00:00,2026-08-09T19:20:00+00:00,8.327812,8.303575,1000.0,-2.9104,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-08-09T19:30:00+00:00,2026-08-09T22:00:00+00:00,8.32581,8.340667,1000.0,1.7845,,tp,30
50,-1.5,0.6,LINKUSDT,F_015,2026-08-09T22:45:00+00:00,2026-08-09T22:50:00+00:00,8.304782,8.262598,1000.0,-5.0795,,stop,1
50,-1.5,0.6,LINKUSDT,F_015,2026-08-11T15:00:00+00:00,2026-08-11T15:35:00+00:00,8.563118,8.503763,1000.0,-6.9315,,stop,7
50,-1.5,0.6,LINKUSDT,F_015,2026-08-11T15:20:00+00:00,2026-08-11T15:35:00+00:00,8.584145,8.518485,1000.0,-7.649,,stop,3
50,-1.5,0.6,LINKUSDT,F_015,2026-08-11T15:45:00+00:00,2026-08-11T20:05:00+00:00,8.556108,8.682521,1000.0,14.7745,,tp,52
50,-1.5,0.6,LINKUSDT,F_015,2026-08-12T03:05:00+00:00,2026-08-12T03:05:00+00:00,8.759372,8.720164,1000.0,-4.4761,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-08-12T03:20:00+00:00,2026-08-12T03:55:00+00:00,8.741349,8.702878,1000.0,-4.4011,,stop,7
50,-1.5,0.6,LINKUSDT,F_015,2026-08-12T04:00:00+00:00,2026-08-12T05:05:00+00:00,8.73434,8.695735,1000.0,-4.4199,,stop,13
50,-1.5,0.6,LINKUSDT,F_015,2026-08-12T06:30:00+00:00,2026-08-12T06:30:00+00:00,8.704301,8.672298,1000.0,-3.6767,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-08-12T14:45:00+00:00,2026-08-12T21:25:00+00:00,8.74235,8.672918,1000.0,-7.9421,,stop,80
50,-1.5,0.6,LINKUSDT,F_015,2026-08-12T19:20:00+00:00,2026-08-12T19:20:00+00:00,8.762376,8.718741,1000.0,-4.9798,,stop,0
50,-1.5,0.6,LINKUSDT,F_015,2026-08-12T19:30:00+00:00,2026-08-12T19:40:00+00:00,8.752363,8.709027,1000.0,-4.9514,,stop,2
50,-1.5,0.6,LINKUSDT,F_015,2026-08-12T21:40:00+00:00,2026-08-12T22:00:00+00:00,8.683274,8.623477,1000.0,-6.8864,,stop,4
50,-1.5,0.6,LINKUSDT,F_015,2026-08-12T22:05:00+00:00,2026-08-13T01:40:00+00:00,8.684275,8.620482,1000.0,-7.3458,,stop,43
50,-1.5,0.6,LINKUSDT,F_015,2026-08-13T09:25:00+00:00,2026-08-13T10:00:00+00:00,8.71932,8.681876,1000.0,-4.2944,,stop,7
50,-1.5,0.6,LINKUSDT,F_015,2026-08-13T11:30:00+00:00,2026-08-13T12:30:00+00:00,8.701297,8.746483,1000.0,5.193,,tp,12
50,-1.5,0.6,LINKUSDT,F_015,2026-08-13T16:20:00+00:00,2026-08-13T16:35:00+00:00,8.740348,8.680762,1000.0,-6.8173,,stop,3
