NOVA_LB,NOVA_WICK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
20,0.7,BTCUSDT,F_008,2026-06-15T17:15:00+00:00,2026-06-15T17:30:00+00:00,66983.625658,66628.326086,1000.0,-5.3043,,stop,3
20,0.7,BTCUSDT,F_008,2026-06-15T21:35:00+00:00,2026-06-15T21:45:00+00:00,66534.372387,66300.041569,1000.0,-3.522,,stop,2
20,0.7,BTCUSDT,F_008,2026-06-16T03:25:00+00:00,2026-06-16T06:30:00+00:00,65899.5582,66269.184691,1000.0,5.6089,,tp,37
20,0.7,BTCUSDT,F_008,2026-06-16T13:15:00+00:00,2026-06-16T13:25:00+00:00,66293.639841,65930.127679,1000.0,-5.4834,,stop,2
20,0.7,BTCUSDT,F_008,2026-06-16T14:35:00+00:00,2026-06-17T07:50:00+00:00,65653.248413,65177.885439,1000.0,-7.2405,,stop,207
20,0.7,BTCUSDT,F_008,2026-06-18T03:45:00+00:00,2026-06-18T04:00:00+00:00,64411.646426,64187.616763,1000.0,-3.4781,,stop,3
20,0.7,BTCUSDT,F_008,2026-06-18T05:10:00+00:00,2026-06-18T07:35:00+00:00,63857.00633,64281.665673,1000.0,6.6502,,tp,29
20,0.7,BTCUSDT,F_008,2026-06-19T09:25:00+00:00,2026-06-19T12:50:00+00:00,62504.35016,62771.615124,1000.0,4.2759,,tp,41
20,0.7,BTCUSDT,F_008,2026-06-20T08:40:00+00:00,2026-06-20T08:40:00+00:00,63574.5396,63368.08814,1000.0,-3.2474,,stop,0
20,0.7,BTCUSDT,F_008,2026-06-20T13:30:00+00:00,2026-06-20T14:05:00+00:00,63431.303635,63207.579679,1000.0,-3.527,,stop,7
20,0.7,BTCUSDT,F_008,2026-06-22T04:05:00+00:00,2026-06-22T11:35:00+00:00,64094.334456,64658.480445,1000.0,8.8018,,tp,90
20,0.7,BTCUSDT,F_008,2026-06-22T16:20:00+00:00,2026-06-22T16:35:00+00:00,64832.1724,64515.501646,1000.0,-4.8845,,stop,3
20,0.7,BTCUSDT,F_008,2026-06-23T04:25:00+00:00,2026-06-23T04:25:00+00:00,64057.1662,63865.354595,1000.0,-2.9944,,stop,0
20,0.7,BTCUSDT,F_008,2026-06-24T07:55:00+00:00,2026-06-24T08:10:00+00:00,62759.491413,62531.889854,1000.0,-3.6266,,stop,3
20,0.7,BTCUSDT,F_008,2026-06-24T10:25:00+00:00,2026-06-24T10:30:00+00:00,62650.3397,62451.478526,1000.0,-3.1741,,stop,1
20,0.7,BTCUSDT,F_008,2026-06-25T00:50:00+00:00,2026-06-25T00:55:00+00:00,60933.1102,60660.761417,1000.0,-4.4696,,stop,1
20,0.7,BTCUSDT,F_008,2026-06-25T01:00:00+00:00,2026-06-25T02:50:00+00:00,60911.0816,60632.267051,1000.0,-4.5774,,stop,22
20,0.7,BTCUSDT,F_008,2026-06-28T05:20:00+00:00,2026-06-28T05:20:00+00:00,60099.658119,59913.967147,1000.0,-3.0897,,stop,0
20,0.7,BTCUSDT,F_008,2026-06-29T04:45:00+00:00,2026-06-29T05:00:00+00:00,59923.058838,59657.083678,1000.0,-4.4386,,stop,3
20,0.7,BTCUSDT,F_008,2026-06-30T00:05:00+00:00,2026-06-30T00:05:00+00:00,60350.403665,60166.202931,1000.0,-3.0522,,stop,0
20,0.7,BTCUSDT,F_008,2026-06-30T08:50:00+00:00,2026-06-30T11:25:00+00:00,59362.901579,59135.880579,1000.0,-3.8243,,stop,31
20,0.7,BTCUSDT,F_008,2026-07-01T12:10:00+00:00,2026-07-01T12:10:00+00:00,58617.533859,58384.518044,1000.0,-3.9752,,stop,0
20,0.7,BTCUSDT,F_008,2026-07-02T06:55:00+00:00,2026-07-02T07:05:00+00:00,60408.429,60135.289934,1000.0,-4.5215,,stop,2
20,0.7,BTCUSDT,F_008,2026-07-02T22:55:00+00:00,2026-07-02T22:55:00+00:00,61623.716823,61464.750066,1000.0,-2.5796,,stop,0
20,0.7,BTCUSDT,F_008,2026-07-04T01:30:00+00:00,2026-07-04T06:20:00+00:00,62573.249613,62327.268694,1000.0,-3.9311,,stop,58
20,0.7,BTCUSDT,F_008,2026-07-04T23:05:00+00:00,2026-07-04T23:05:00+00:00,63292.173,63117.24663,1000.0,-2.7638,,stop,0
20,0.7,BTCUSDT,F_008,2026-07-05T02:20:00+00:00,2026-07-05T02:40:00+00:00,62833.036898,62604.238306,1000.0,-3.6414,,stop,4
20,0.7,BTCUSDT,F_008,2026-07-05T16:55:00+00:00,2026-07-05T17:40:00+00:00,62711.408987,62538.965361,1000.0,-2.7498,,stop,9
20,0.7,BTCUSDT,F_008,2026-07-06T00:15:00+00:00,2026-07-06T00:20:00+00:00,63676.6722,63356.791159,1000.0,-5.0235,,stop,1
20,0.7,BTCUSDT,F_008,2026-07-07T04:00:00+00:00,2026-07-07T04:45:00+00:00,63273.158313,63025.781003,1000.0,-3.9097,,stop,9
20,0.7,BTCUSDT,F_008,2026-07-07T14:05:00+00:00,2026-07-07T14:35:00+00:00,63182.03,62773.990443,1000.0,-6.4582,,stop,6
20,0.7,BTCUSDT,F_008,2026-07-09T00:45:00+00:00,2026-07-09T00:50:00+00:00,62282.852587,62047.179115,1000.0,-3.7839,,stop,1
20,0.7,BTCUSDT,F_008,2026-07-09T02:05:00+00:00,2026-07-09T06:00:00+00:00,62022.534613,62599.794663,1000.0,9.3073,,tp,47
20,0.7,BTCUSDT,F_008,2026-07-11T23:30:00+00:00,2026-07-11T23:30:00+00:00,64015.91264,63759.647205,1000.0,-4.0032,,stop,0
20,0.7,BTCUSDT,F_008,2026-07-13T00:45:00+00:00,2026-07-13T01:35:00+00:00,63868.9218,63483.380265,1000.0,-6.0364,,stop,10
20,0.7,BTCUSDT,F_008,2026-07-13T03:15:00+00:00,2026-07-13T03:15:00+00:00,63106.602071,62771.016386,1000.0,-5.3178,,stop,0
20,0.7,BTCUSDT,F_008,2026-07-13T04:40:00+00:00,2026-07-13T05:00:00+00:00,62818.397892,62520.512571,1000.0,-4.742,,stop,4
20,0.7,BTCUSDT,F_008,2026-07-13T14:20:00+00:00,2026-07-13T16:35:00+00:00,62555.206187,62134.621749,1000.0,-6.7234,,stop,27
20,0.7,BTCUSDT,F_008,2026-07-13T16:40:00+00:00,2026-07-13T17:20:00+00:00,62386.827579,62116.048746,1000.0,-4.3403,,stop,8
20,0.7,BTCUSDT,F_008,2026-07-14T07:00:00+00:00,2026-07-14T07:00:00+00:00,62705.471278,62513.983028,1000.0,-3.0538,,stop,0
20,0.7,BTCUSDT,F_008,2026-07-14T08:05:00+00:00,2026-07-14T08:05:00+00:00,62654.74542,62468.189636,1000.0,-2.9775,,stop,0
