symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,driver
ETHUSDT,F_213_breakers,2026-08-02T08:00:00+00:00,2026-08-02T20:00:00+00:00,1878.53893,1884.539265,20.0,0.0639,,stop,3,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-03T00:00:00+00:00,2026-08-03T04:00:00+00:00,1887.810968,1846.89973,20.0,-0.4334,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-03T16:00:00+00:00,2026-08-03T20:00:00+00:00,1865.762342,1871.721867,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-04T16:00:00+00:00,2026-08-04T20:00:00+00:00,1875.515004,1881.50568,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-05T16:00:00+00:00,2026-08-05T20:00:00+00:00,1876.346083,1923.953205,20.0,0.5074,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-06T00:00:00+00:00,2026-08-06T08:00:00+00:00,1911.391583,1917.496854,20.0,0.0639,,stop,2,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-07T12:00:00+00:00,2026-08-07T16:00:00+00:00,1918.821229,1938.941679,20.0,0.2097,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-10T04:00:00+00:00,2026-08-10T08:00:00+00:00,1919.932672,1926.065225,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-10T20:00:00+00:00,2026-08-11T12:00:00+00:00,1880.962076,1889.349449,20.0,0.0892,,stop,4,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-11T08:00:00+00:00,2026-08-11T12:00:00+00:00,1880.391335,1889.349449,20.0,0.0953,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-11T20:00:00+00:00,2026-08-12T08:00:00+00:00,1884.34647,1890.365355,20.0,0.0639,,stop,3,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-12T12:00:00+00:00,2026-08-12T16:00:00+00:00,1918.070254,1924.196858,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-13T00:00:00+00:00,2026-08-13T04:00:00+00:00,1882.24374,1888.255909,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-13T08:00:00+00:00,2026-08-17T04:00:00+00:00,1898.034241,1904.096847,20.0,0.0639,,stop,23,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-14T12:00:00+00:00,2026-08-14T20:00:00+00:00,1880.64166,1886.648712,20.0,0.0639,,stop,2,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-15T00:00:00+00:00,2026-08-16T20:00:00+00:00,1884.64686,1890.666705,20.0,0.0639,,stop,11,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-15T20:00:00+00:00,2026-08-16T20:00:00+00:00,1886.999915,1893.027276,20.0,0.0639,,stop,6,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-16T16:00:00+00:00,2026-08-16T20:00:00+00:00,1886.509278,1892.535072,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-17T04:00:00+00:00,2026-08-17T08:00:00+00:00,1903.401209,1909.480958,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-17T12:00:00+00:00,2026-08-17T16:00:00+00:00,1906.935798,1913.026837,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-18T16:00:00+00:00,2026-08-19T12:00:00+00:00,1920.203023,1926.336439,20.0,0.0639,,stop,5,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-19T16:00:00+00:00,2026-08-19T20:00:00+00:00,2088.541579,2101.049081,20.0,0.1198,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-20T04:00:00+00:00,2026-08-20T08:00:00+00:00,2254.136573,2261.336623,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-20T12:00:00+00:00,2026-08-20T16:00:00+00:00,2299.575567,2332.982862,20.0,0.2906,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-21T08:00:00+00:00,2026-08-21T12:00:00+00:00,2374.753171,2442.841788,20.0,0.5734,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-22T00:00:00+00:00,2026-08-22T04:00:00+00:00,2519.581203,2527.629123,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-24T00:00:00+00:00,2026-08-24T08:00:00+00:00,2466.622446,2474.501208,20.0,0.0639,,stop,2,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-24T16:00:00+00:00,2026-08-24T20:00:00+00:00,2491.224387,2499.181731,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-25T04:00:00+00:00,2026-08-25T08:00:00+00:00,2502.54909,2510.542607,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-25T16:00:00+00:00,2026-08-27T00:00:00+00:00,2486.117757,2510.100318,20.0,0.1929,,stop,8,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-27T00:00:00+00:00,2026-08-27T12:00:00+00:00,2510.038814,2561.142956,20.0,0.4072,,stop,3,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-27T08:00:00+00:00,2026-08-27T12:00:00+00:00,2500.416321,2561.142956,20.0,0.4857,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-29T00:00:00+00:00,2026-08-29T16:00:00+00:00,2445.965627,2453.778408,20.0,0.0639,,stop,4,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-29T16:00:00+00:00,2026-08-29T20:00:00+00:00,2447.928175,2455.747225,20.0,0.0639,,stop,1,F_213_breakers
ETHUSDT,F_213_breakers,2026-08-30T20:00:00+00:00,2026-08-30T20:00:00+00:00,2507.074966,2454.919417,20.0,-0.4161,,stop,0,F_213_breakers
ETHUSDT,F_192_ext_entry,2025-05-08T20:00:00+00:00,2025-05-09T00:00:00+00:00,2120.583179,2221.327715,20.0,0.9502,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-05-10T20:00:00+00:00,2025-05-11T00:00:00+00:00,2502.739337,2594.542704,20.0,0.7336,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-05-13T20:00:00+00:00,2025-05-14T00:00:00+00:00,2694.428209,2703.034617,20.0,0.0639,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-05-22T04:00:00+00:00,2025-05-22T08:00:00+00:00,2632.658012,2641.067117,20.0,0.0639,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-05-23T04:00:00+00:00,2025-05-23T08:00:00+00:00,2725.5386,2577.660422,20.0,-1.0851,,stop,1,F_192_ext_entry
ETHUSDT,F_192_ext_entry,2025-05-27T08:00:00+00:00,2025-05-27T12:00:00+00:00,2610.98988,2649.427261,20.0,0.2944,,stop,1,F_192_ext_entry
