time,equity,cash,event
2025-12-11 00:00:00+00:00,72356.96,9461653.571594305,exit
2025-12-11 00:00:00+00:00,72403.12,9464699.726894306,exit
2025-12-11 00:00:00+00:00,72459.81,9467756.420594307,exit
2025-12-11 00:00:00+00:00,72517.44,9470814.047294308,exit
2025-12-11 00:00:00+00:00,72575.53,9473872.135094307,exit
2025-12-11 00:00:00+00:00,72646.15,9476942.757194307,exit
2025-12-11 00:00:00+00:00,72720.05,9480016.660094306,exit
2025-12-11 00:00:00+00:00,72798.97,9483095.576894306,exit
2025-12-11 00:00:00+00:00,73323.31,9486619.918394305,exit
2025-12-11 12:00:00+00:00,73332.89,9489629.500694305,exit
2025-12-11 12:00:00+00:00,73342.47,9492639.083294304,exit
2025-12-11 16:00:00+00:00,73352.06,9495648.665594304,exit
2025-12-11 16:00:00+00:00,73361.64,9498658.247894304,exit
2025-12-11 16:00:00+00:00,73371.22,9501667.830494303,exit
2025-12-11 16:00:00+00:00,73387.55,9504684.154994303,exit
2025-12-11 16:00:00+00:00,73418.21,9507714.815294303,exit
2025-12-11 20:00:00+00:00,73437.95,9510734.557694303,exit
2025-12-11 20:00:00+00:00,73478.26,9513774.865394304,exit
2025-12-11 20:00:00+00:00,73528.27,9516824.879294304,exit
2025-12-12 00:00:00+00:00,73591.91,9519888.520994304,exit
2025-12-12 00:00:00+00:00,73657.23,9522953.837894304,exit
2025-12-12 00:00:00+00:00,73724.37,9526020.976994304,exit
2025-12-12 00:00:00+00:00,73791.51,9529088.116094304,exit
2025-12-12 00:00:00+00:00,73868.18,9532164.791294305,exit
2025-12-12 00:00:00+00:00,73959.6,9535256.212394305,exit
2025-12-12 00:00:00+00:00,74060.62,9538357.230794305,exit
2025-12-12 00:00:00+00:00,74168.32,9541464.925094305,exit
2025-12-12 04:00:00+00:00,74177.9,9544474.507394304,exit
2025-12-12 04:00:00+00:00,74187.48,9547484.089694304,exit
2025-12-12 04:00:00+00:00,74206.17,9550502.774294304,exit
2025-12-12 04:00:00+00:00,74239.34,9553535.952794304,exit
2025-12-12 08:00:00+00:00,74264.82,9556561.427594304,exit
2025-12-12 08:00:00+00:00,74320.94,9559617.548594303,exit
2025-12-12 12:00:00+00:00,74164.94,9562461.550094303,exit
2025-12-12 12:00:00+00:00,74174.52,9565471.132394303,exit
2025-12-12 16:00:00+00:00,74022.95,9568319.555894302,exit
2025-12-13 00:00:00+00:00,74032.53,9571329.138194302,exit
2025-12-13 00:00:00+00:00,74042.11,9574338.720494302,exit
2025-12-13 00:00:00+00:00,74051.69,9577348.302794302,exit
2025-12-13 00:00:00+00:00,74065.13,9580361.737994302,exit
2025-12-13 00:00:00+00:00,74095.1,9583391.710694302,exit
2025-12-13 00:00:00+00:00,74134.39,9586431.003794301,exit
2025-12-13 04:00:00+00:00,74143.98,9589440.586094301,exit
2025-12-13 04:00:00+00:00,74153.56,9592450.1686943,exit
2025-12-13 08:00:00+00:00,74163.14,9595459.7512943,exit
2025-12-13 08:00:00+00:00,74196.77,9598493.3743943,exit
2025-12-13 08:00:00+00:00,74234.47,9601531.0825943,exit
2025-12-13 12:00:00+00:00,74244.06,9604540.6651943,exit
2025-12-13 12:00:00+00:00,74257.83,9607554.4390943,exit
2025-12-13 12:00:00+00:00,74274.16,9610570.765094299,exit
2025-12-13 12:00:00+00:00,74299.57,9613596.174494298,exit
2025-12-13 12:00:00+00:00,74333.52,9616630.124894299,exit
2025-12-13 12:00:00+00:00,74367.67,9619664.277794298,exit
2025-12-13 20:00:00+00:00,74377.25,9622673.860094298,exit
2025-12-13 20:00:00+00:00,74386.83,9625683.442694297,exit
2025-12-13 20:00:00+00:00,74419.82,9628716.433394298,exit
2025-12-14 04:00:00+00:00,74429.41,9631726.015694298,exit
2025-12-14 04:00:00+00:00,74442.24,9634738.844894297,exit
2025-12-14 04:00:00+00:00,74495.99,9637792.600994298,exit
2025-12-14 12:00:00+00:00,74391.33,9640687.942094298,exit
2025-12-14 16:00:00+00:00,74438.86,9643735.469594298,exit
2025-12-14 16:00:00+00:00,74486.39,9646782.997094298,exit
2025-12-14 20:00:00+00:00,74322.58,9649619.184494298,exit
2025-12-14 20:00:00+00:00,74221.43,9652518.041594299,exit
2025-12-14 20:00:00+00:00,74235.14,9655531.747994298,exit
2025-12-15 04:00:00+00:00,74280.24,9658576.852994299,exit
2025-12-15 04:00:00+00:00,74345.03,9661641.641894298,exit
2025-12-15 08:00:00+00:00,74354.61,9664651.224194298,exit
2025-12-15 08:00:00+00:00,74364.2,9667660.806794297,exit
2025-12-15 08:00:00+00:00,74374.1,9670670.713694297,exit
2025-12-15 08:00:00+00:00,74386.62,9673683.226694297,exit
