time,equity,cash,event
2025-11-15 20:00:00+00:00,7258.19,686451.9583289898,exit
2025-11-16 00:00:00+00:00,7259.8,686815.7867780081,exit
2025-11-16 00:00:00+00:00,7261.41,687179.6152270264,exit
2025-11-16 04:00:00+00:00,7262.56,687543.273742905,exit
2025-11-16 04:00:00+00:00,7263.8,687907.4183290798,exit
2025-11-16 08:00:00+00:00,7264.96,688271.0768449584,exit
2025-11-16 08:00:00+00:00,7266.11,688634.735360837,exit
2025-11-16 08:00:00+00:00,7267.27,688998.8038449283,exit
2025-11-16 08:00:00+00:00,7268.43,689362.8723290196,exit
2025-11-16 08:00:00+00:00,7269.59,689726.9408131109,exit
2025-11-16 08:00:00+00:00,7270.75,690091.1707524271,exit
2025-11-16 08:00:00+00:00,7271.91,690455.4007280503,exit
2025-11-16 08:00:00+00:00,7283.48,690830.0360793858,exit
2025-11-16 12:00:00+00:00,7284.64,691194.3860939195,exit
2025-11-16 12:00:00+00:00,7285.8,691558.7361084532,exit
2025-11-16 16:00:00+00:00,7263.17,691899.1819324783,exit
2025-11-16 16:00:00+00:00,7236.12,692236.2193044415,exit
2025-11-17 00:00:00+00:00,7237.59,692599.4873693386,exit
2025-11-17 00:00:00+00:00,7245.37,692969.0798793756,exit
2025-11-17 04:00:00+00:00,7247.66,693333.1738393381,exit
2025-11-17 04:00:00+00:00,7249.95,693697.2677993006,exit
2025-11-17 04:00:00+00:00,7253.99,694063.1186541015,exit
2025-11-17 04:00:00+00:00,7259.02,694429.9517766173,exit
2025-11-17 04:00:00+00:00,7264.24,694796.97832074,exit
2025-11-17 04:00:00+00:00,7269.47,695164.016623565,exit
2025-11-17 04:00:00+00:00,7275.29,695531.6443087272,exit
2025-11-17 04:00:00+00:00,7281.98,695900.1370363882,exit
2025-11-17 04:00:00+00:00,7290.27,696270.2309736697,exit
2025-11-17 04:00:00+00:00,7298.96,696640.7260455107,exit
2025-11-17 04:00:00+00:00,7310.47,697014.041903389,exit
2025-11-17 08:00:00+00:00,7311.62,697377.4676550954,exit
2025-11-17 08:00:00+00:00,7313.61,697741.722820829,exit
2025-11-17 12:00:00+00:00,7314.78,698108.4136468363,exit
2025-11-17 12:00:00+00:00,7315.94,698475.1045093959,exit
2025-11-17 12:00:00+00:00,7317.11,698841.7953719555,exit
2025-11-17 12:00:00+00:00,7319.22,699209.4248252654,exit
2025-11-17 12:00:00+00:00,7324.58,699580.3047311441,exit
2025-11-17 12:00:00+00:00,7330.69,699951.9399909388,exit
2025-11-17 12:00:00+00:00,7343.57,700330.342000973,exit
2025-11-17 16:00:00+00:00,7315.53,700662.494415353,exit
2025-11-18 04:00:00+00:00,7316.69,701029.438993983,exit
2025-11-18 04:00:00+00:00,7320.25,701398.7701163512,exit
2025-11-18 04:00:00+00:00,7324.0,701768.298355542,exit
2025-11-18 04:00:00+00:00,7328.36,702138.4389041798,exit
2025-11-18 04:00:00+00:00,7333.34,702509.1907015136,exit
2025-11-18 04:00:00+00:00,7338.32,702879.9424988473,exit
2025-11-18 04:00:00+00:00,7345.75,703253.1520199782,exit
2025-11-18 04:00:00+00:00,7353.42,703626.5984178103,exit
