NOVA_COOL_S,NOVA_MAX_PER,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
300.0,2,LINKUSDT,F_205,2026-08-24T18:15:00+00:00,2026-08-24T18:38:00+00:00,11.583038,11.540588,1000.0,-3.6649,,stop,23
300.0,2,LINKUSDT,F_205,2026-08-24T18:27:00+00:00,2026-08-24T18:29:00+00:00,11.619085,11.578728,1000.0,-3.4734,,stop,2
300.0,2,LINKUSDT,F_205,2026-08-24T18:33:00+00:00,2026-08-24T18:34:00+00:00,11.6301,11.586303,1000.0,-3.7658,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-24T19:13:00+00:00,2026-08-24T19:16:00+00:00,11.619085,11.565602,1000.0,-4.6031,,stop,3
300.0,2,LINKUSDT,F_205,2026-08-24T20:36:00+00:00,2026-08-24T21:03:00+00:00,11.570022,11.606913,1000.0,3.1885,,tp,27
300.0,2,LINKUSDT,F_205,2026-08-24T20:59:00+00:00,2026-08-24T21:08:00+00:00,11.610074,11.635214,1000.0,2.1654,,tp,9
300.0,2,LINKUSDT,F_205,2026-08-24T21:04:00+00:00,2026-08-24T21:19:00+00:00,11.649124,11.610725,1000.0,-3.2963,,stop,15
300.0,2,LINKUSDT,F_205,2026-08-24T21:09:00+00:00,2026-08-24T21:10:00+00:00,11.665145,11.630577,1000.0,-2.9634,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-24T21:15:00+00:00,2026-08-24T21:16:00+00:00,11.698188,11.658298,1000.0,-3.4099,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-24T22:38:00+00:00,2026-08-24T22:44:00+00:00,11.627096,11.588868,1000.0,-3.2878,,stop,6
300.0,2,LINKUSDT,F_205,2026-08-24T23:23:00+00:00,2026-08-24T23:25:00+00:00,11.645119,11.61129,1000.0,-2.905,,stop,2
300.0,2,LINKUSDT,F_205,2026-08-25T00:24:00+00:00,2026-08-25T00:26:00+00:00,11.683168,11.635451,1000.0,-4.0843,,stop,2
300.0,2,LINKUSDT,F_205,2026-08-25T00:36:00+00:00,2026-08-25T00:46:00+00:00,11.699189,11.753319,1000.0,4.6268,,tp,10
300.0,2,LINKUSDT,F_205,2026-08-25T00:44:00+00:00,2026-08-25T01:10:00+00:00,11.750256,11.693463,1000.0,-4.8333,,stop,26
300.0,2,LINKUSDT,F_205,2026-08-25T01:04:00+00:00,2026-08-25T01:05:00+00:00,11.801322,11.751454,1000.0,-4.2256,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-25T02:18:00+00:00,2026-08-25T02:20:00+00:00,11.870412,11.932879,1000.0,5.2624,,tp,2
300.0,2,LINKUSDT,F_205,2026-08-25T03:06:00+00:00,2026-08-25T03:14:00+00:00,11.88443,11.831172,1000.0,-4.4813,,stop,8
300.0,2,LINKUSDT,F_205,2026-08-25T04:36:00+00:00,2026-08-25T04:42:00+00:00,11.780295,11.728171,1000.0,-4.4246,,stop,6
300.0,2,LINKUSDT,F_205,2026-08-25T05:03:00+00:00,2026-08-25T05:17:00+00:00,11.808331,11.760594,1000.0,-4.0427,,stop,14
300.0,2,LINKUSDT,F_205,2026-08-25T05:27:00+00:00,2026-08-25T05:29:00+00:00,11.836367,11.795156,1000.0,-3.4817,,stop,2
300.0,2,LINKUSDT,F_205,2026-08-25T06:01:00+00:00,2026-08-25T06:02:00+00:00,11.836367,11.798153,1000.0,-3.2286,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-25T07:05:00+00:00,2026-08-25T07:15:00+00:00,11.794313,11.750018,1000.0,-3.7556,,stop,10
300.0,2,LINKUSDT,F_205,2026-08-25T08:13:00+00:00,2026-08-25T08:41:00+00:00,11.632102,11.590871,1000.0,-3.5446,,stop,28
300.0,2,LINKUSDT,F_205,2026-08-25T08:24:00+00:00,2026-08-25T08:25:00+00:00,11.683168,11.645724,1000.0,-3.205,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-25T09:10:00+00:00,2026-08-25T09:24:00+00:00,11.642115,11.674347,1000.0,2.7686,,tp,14
300.0,2,LINKUSDT,F_205,2026-08-25T09:21:00+00:00,2026-08-25T09:26:00+00:00,11.695184,11.65487,1000.0,-3.4471,,stop,5
300.0,2,LINKUSDT,F_205,2026-08-25T10:46:00+00:00,2026-08-25T10:47:00+00:00,11.603064,11.568577,1000.0,-2.9723,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-25T10:56:00+00:00,2026-08-25T10:57:00+00:00,11.610074,11.574008,1000.0,-3.1064,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-25T11:35:00+00:00,2026-08-25T11:43:00+00:00,11.596055,11.55801,1000.0,-3.2809,,stop,8
300.0,2,LINKUSDT,F_205,2026-08-25T12:48:00+00:00,2026-08-25T13:11:00+00:00,11.611075,11.566019,1000.0,-3.8804,,stop,23
300.0,2,LINKUSDT,F_205,2026-08-25T13:05:00+00:00,2026-08-25T13:06:00+00:00,11.664144,11.624441,1000.0,-3.4038,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-25T14:10:00+00:00,2026-08-25T17:08:00+00:00,11.509944,11.447043,1000.0,-5.4649,,stop,178
300.0,2,LINKUSDT,F_205,2026-08-25T14:16:00+00:00,2026-08-25T16:23:00+00:00,11.54599,11.488464,1000.0,-4.9823,,stop,127
300.0,2,LINKUSDT,F_205,2026-08-25T17:42:00+00:00,2026-08-25T19:27:00+00:00,11.541985,11.494451,1000.0,-4.1183,,stop,105
300.0,2,LINKUSDT,F_205,2026-08-25T17:49:00+00:00,2026-08-25T17:50:00+00:00,11.572024,11.533154,1000.0,-3.3589,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-25T18:24:00+00:00,2026-08-25T18:25:00+00:00,11.587044,11.549296,1000.0,-3.2578,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-25T21:33:00+00:00,2026-08-25T22:08:00+00:00,11.311686,11.374309,1000.0,5.5361,,tp,35
300.0,2,LINKUSDT,F_205,2026-08-25T22:04:00+00:00,2026-08-25T22:26:00+00:00,11.377772,11.338156,1000.0,-3.4819,,stop,22
300.0,2,LINKUSDT,F_205,2026-08-25T23:03:00+00:00,2026-08-25T23:04:00+00:00,11.410815,11.382427,1000.0,-2.4878,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T00:05:00+00:00,2026-08-26T00:06:00+00:00,11.317694,11.273733,1000.0,-3.8842,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T00:34:00+00:00,2026-08-26T00:35:00+00:00,11.308682,11.270297,1000.0,-3.3943,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T00:52:00+00:00,2026-08-26T01:05:00+00:00,11.332713,11.370484,1000.0,3.3329,,tp,13
300.0,2,LINKUSDT,F_205,2026-08-26T01:02:00+00:00,2026-08-26T02:55:00+00:00,11.36876,11.417898,1000.0,4.3221,,tp,113
300.0,2,LINKUSDT,F_205,2026-08-26T01:32:00+00:00,2026-08-26T01:49:00+00:00,11.407811,11.373435,1000.0,-3.0134,,stop,17
300.0,2,LINKUSDT,F_205,2026-08-26T02:19:00+00:00,2026-08-26T02:20:00+00:00,11.409814,11.375149,1000.0,-3.0381,,stop,1
300.0,2,LINKUSDT,F_205,2026-08-26T02:26:00+00:00,2026-08-26T03:32:00+00:00,11.417824,11.378299,1000.0,-3.4617,,stop,66
