symbol,NOVA_SMA,NOVA_EMA_FAST,NOVA_OSC_P,net,trades,win_pct,pf
LINKUSDT,100,9,2,-428.6968104718512,17156,55.75,0.6220683770633044
LINKUSDT,100,9,7,-625.6908087196176,24125,55.3,0.6112105065717887
LINKUSDT,100,9,14,-636.5138428157458,24534,55.4,0.6117124119813934
GRAMUSDT,20,5,2,-208.9213942592258,7073,49.77,0.5482513695348441
GRAMUSDT,20,5,7,-278.5245355319634,9173,49.34,0.5384625973674342
GRAMUSDT,20,5,14,-278.7378894187382,9176,49.32,0.5383840015168495
GRAMUSDT,20,7,2,-209.97044863205068,7132,49.8,0.548915327876294
GRAMUSDT,20,7,7,-288.130465766845,9629,49.53,0.5435351161150009
GRAMUSDT,20,7,14,-289.1424690396934,9655,49.52,0.5437986871108803
GRAMUSDT,20,9,2,-211.5272049324096,7160,49.78,0.5480011059767186
GRAMUSDT,20,9,7,-299.87541105060524,9987,49.56,0.5430826006346239
GRAMUSDT,20,9,14,-298.06546936047806,10027,49.62,0.5468233736105245
GRAMUSDT,50,5,2,-189.0218041938974,6137,49.0,0.5315391163025881
GRAMUSDT,50,5,7,-261.32050932073565,7971,48.15,0.5117484935543312
GRAMUSDT,50,5,14,-259.3139238634954,8016,48.3,0.5167032095009131
GRAMUSDT,50,7,2,-187.90231432447533,6104,49.03,0.5317649719895559
GRAMUSDT,50,7,7,-265.81709449551494,8253,48.38,0.5180547672876286
GRAMUSDT,50,7,14,-265.1426278897209,8317,48.53,0.5223388581038476
GRAMUSDT,50,9,2,-188.12677721815717,6084,49.0,0.530844869196125
GRAMUSDT,50,9,7,-274.47310603329663,8483,48.36,0.5175774739809718
GRAMUSDT,50,9,14,-274.01700709127783,8566,48.55,0.5220766546795912
GRAMUSDT,100,5,2,-181.5189241179971,5707,48.48,0.522740388253878
GRAMUSDT,100,5,7,-242.4934314756378,7321,47.88,0.5088872166075813
GRAMUSDT,100,5,14,-243.27439447147216,7414,48.06,0.5129192996086511
GRAMUSDT,100,7,2,-177.0096592328622,5615,48.6,0.5254114115504074
GRAMUSDT,100,7,7,-243.2652265904023,7507,48.18,0.5167915569755934
GRAMUSDT,100,7,14,-242.91284460262136,7586,48.38,0.5221612077246282
GRAMUSDT,100,9,2,-174.1268975281791,5544,48.67,0.5270895416240787
GRAMUSDT,100,9,7,-247.84367419578018,7663,48.26,0.517805259333222
GRAMUSDT,100,9,14,-249.0674304974357,7753,48.39,0.5214409746130795
RENDERUSDT,20,5,2,-143.58410471298927,7108,63.94,0.7185736333521651
RENDERUSDT,20,5,7,-185.76917689092872,9291,63.7,0.7211201499499558
RENDERUSDT,20,5,14,-185.48624773295197,9305,63.72,0.7218738380727399
RENDERUSDT,20,7,2,-145.1129652360964,7177,63.93,0.7185439693812136
RENDERUSDT,20,7,7,-200.23297757151798,9770,63.51,0.7153832625763119
RENDERUSDT,20,7,14,-206.6663642131171,9828,63.44,0.7098521569023114
RENDERUSDT,20,9,2,-145.31783785033738,7216,64.05,0.7191795552744298
RENDERUSDT,20,9,7,-209.8830659659443,10176,63.49,0.7141804995215277
RENDERUSDT,20,9,14,-210.53956905653683,10239,63.54,0.7149259034797685
RENDERUSDT,50,5,2,-126.91362206044751,6051,63.25,0.7107218492883132
RENDERUSDT,50,5,7,-174.19195641430363,7928,62.73,0.6997364668369657
RENDERUSDT,50,5,14,-173.89787711113243,7986,62.82,0.7022893215364397
RENDERUSDT,50,7,2,-126.74423262757834,6027,63.15,0.710112916062001
RENDERUSDT,50,7,7,-173.23513417308752,8187,62.97,0.7084153201052197
RENDERUSDT,50,7,14,-178.61045534326672,8277,62.9,0.7045648260889565
RENDERUSDT,50,9,2,-122.2150528638527,5987,63.44,0.7161323381249468
RENDERUSDT,50,9,7,-178.7916477989786,8470,62.95,0.7085542616498085
RENDERUSDT,50,9,14,-182.42085716628785,8571,62.9,0.7076357196329476
RENDERUSDT,100,5,2,-114.57967856515717,5505,63.87,0.7095779266179219
RENDERUSDT,100,5,7,-156.0997749983525,7162,63.25,0.6999358954161643
RENDERUSDT,100,5,14,-152.3203919607581,7258,63.53,0.7091031208324777
RENDERUSDT,100,7,2,-113.92604717282836,5433,63.72,0.707646958997573
RENDERUSDT,100,7,7,-152.6683887833025,7338,63.41,0.7112709534919324
RENDERUSDT,100,7,14,-156.04611132702027,7451,63.43,0.7103606075440758
RENDERUSDT,100,9,2,-108.57792728361645,5350,64.11,0.7144188109599069
RENDERUSDT,100,9,7,-155.56073326253122,7531,63.38,0.7128067573353247
RENDERUSDT,100,9,14,-158.0827153755963,7641,63.42,0.7130058891814516
FILUSDT,20,5,2,-614.7598466114213,22442,53.79,0.5945510841898629
FILUSDT,20,5,7,-798.2969866654532,29247,53.79,0.5952485480354089
FILUSDT,20,5,14,-795.2030284818786,29199,53.76,0.5957488489423222
FILUSDT,20,7,2,-620.2512698175582,22647,53.83,0.5947063724106683
FILUSDT,20,7,7,-837.9413084789525,30858,53.8,0.5970074585524541
FILUSDT,20,7,14,-833.6710956851377,30887,53.84,0.5987167597591516
FILUSDT,20,9,2,-620.1710208500243,22773,53.88,0.5965653379394381
FILUSDT,20,9,7,-867.8690177556268,32166,53.94,0.5988827262140662
FILUSDT,20,9,14,-868.5592163965823,32287,53.97,0.5998260998788159
FILUSDT,50,5,2,-526.6872021528505,19373,53.39,0.595734047593865
FILUSDT,50,5,7,-689.1004639568384,25217,53.32,0.594439745726338
FILUSDT,50,5,14,-685.9777895880799,25386,53.47,0.5978566235021785
FILUSDT,50,7,2,-528.9656606192029,19273,53.27,0.5930521287621651
FILUSDT,50,7,7,-722.0534142299979,26199,53.2,0.5924895877076413
FILUSDT,50,7,14,-719.608640749196,26439,53.39,0.5964584278639298
FILUSDT,50,9,2,-527.7290131142481,19201,53.24,0.5928153749097107
FILUSDT,50,9,7,-754.249333970394,27099,53.18,0.5894987805674261
FILUSDT,50,9,14,-759.2528268830874,27414,53.32,0.5913364631883165
FILUSDT,100,5,2,-472.03643353878044,17938,53.77,0.606191890969389
FILUSDT,100,5,7,-622.9677690514915,23128,53.53,0.5995140631574528
FILUSDT,100,5,14,-628.1887640422964,23428,53.62,0.6010353068666049
FILUSDT,100,7,2,-478.6915353353761,17664,53.45,0.5977867842799351
FILUSDT,100,7,7,-654.1085140185285,23812,53.27,0.5945012786104595
FILUSDT,100,7,14,-658.0087269577498,24116,53.41,0.5967428624539706
FILUSDT,100,9,2,-472.8815567203606,17431,53.39,0.5977104262890953
FILUSDT,100,9,7,-669.2033500868419,24404,53.39,0.5950323291059583
FILUSDT,100,9,14,-678.0592760443958,24752,53.51,0.5958577050388563
