NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
15,200,3,LINKUSDT,F_001,2026-08-21T06:55:00+00:00,2026-08-21T07:15:00+00:00,10.976251,11.134899,1000.0,14.4538,,tp,4
15,200,3,LINKUSDT,F_001,2026-08-21T09:05:00+00:00,2026-08-21T09:05:00+00:00,11.523962,11.321082,1000.0,-17.605,,stop,0
15,200,3,LINKUSDT,F_001,2026-08-21T09:10:00+00:00,2026-08-21T11:45:00+00:00,11.439853,11.216252,1000.0,-19.5457,,stop,31
15,200,3,LINKUSDT,F_001,2026-08-21T09:20:00+00:00,2026-08-21T20:20:00+00:00,11.388786,11.776029,1000.0,34.0021,,tp,132
15,200,3,LINKUSDT,F_001,2026-08-21T10:05:00+00:00,2026-08-21T11:30:00+00:00,11.476901,11.284925,1000.0,-16.7271,,stop,17
15,200,3,LINKUSDT,F_001,2026-08-21T10:15:00+00:00,2026-08-21T11:30:00+00:00,11.436849,11.272889,1000.0,-14.3361,,stop,15
15,200,3,LINKUSDT,F_001,2026-08-21T11:10:00+00:00,2026-08-21T11:30:00+00:00,11.395795,11.265274,1000.0,-11.4534,,stop,4
15,200,3,LINKUSDT,F_001,2026-08-21T11:35:00+00:00,2026-08-21T14:55:00+00:00,11.255613,11.49779,1000.0,21.516,,tp,40
15,200,3,LINKUSDT,F_001,2026-08-21T13:25:00+00:00,2026-08-21T14:45:00+00:00,11.3227,11.466632,1000.0,12.7117,,tp,16
15,200,3,LINKUSDT,F_001,2026-08-21T14:20:00+00:00,2026-08-21T15:10:00+00:00,11.334716,11.574507,1000.0,21.1554,,tp,10
15,200,3,LINKUSDT,F_001,2026-08-21T15:35:00+00:00,2026-08-21T16:15:00+00:00,11.513949,11.390978,1000.0,-10.6801,,stop,8
15,200,3,LINKUSDT,F_001,2026-08-21T17:20:00+00:00,2026-08-21T20:20:00+00:00,11.519957,11.747237,1000.0,19.7293,,tp,36
15,200,3,LINKUSDT,F_001,2026-08-21T18:10:00+00:00,2026-08-21T20:20:00+00:00,11.580034,11.769001,1000.0,16.3183,,tp,26
15,200,3,LINKUSDT,F_001,2026-08-21T18:45:00+00:00,2026-08-21T18:45:00+00:00,11.595054,11.483535,1000.0,-9.6178,,stop,0
15,200,3,LINKUSDT,F_001,2026-08-21T18:50:00+00:00,2026-08-21T20:10:00+00:00,11.516953,11.702291,1000.0,16.0927,,tp,16
15,200,3,LINKUSDT,F_001,2026-08-21T22:30:00+00:00,2026-08-21T23:35:00+00:00,12.21586,11.995674,1000.0,-18.0246,,stop,13
15,200,3,LINKUSDT,F_001,2026-08-21T23:15:00+00:00,2026-08-21T23:55:00+00:00,12.153779,11.966488,1000.0,-15.4101,,stop,8
15,200,3,LINKUSDT,F_001,2026-08-21T23:40:00+00:00,2026-08-22T00:05:00+00:00,12.053649,11.903726,1000.0,-12.438,,stop,5
15,200,3,LINKUSDT,F_001,2026-08-22T00:00:00+00:00,2026-08-22T00:05:00+00:00,12.005587,11.862859,1000.0,-11.8884,,stop,1
15,200,3,LINKUSDT,F_001,2026-08-22T00:10:00+00:00,2026-08-22T02:55:00+00:00,11.93049,12.180919,1000.0,20.9907,,tp,33
15,200,3,LINKUSDT,F_001,2026-08-22T01:30:00+00:00,2026-08-22T03:15:00+00:00,12.063662,12.24772,1000.0,15.2572,,tp,21
